//X;Y;Z;Scalar field;C2C absolute distances;Illuminance (PCV)
-0.951300025;-9.750300407;8.514900208;1168.000000;0.230355;0.940678
-1.106199980;-9.627599716;8.402299881;1168.000000;0.018967;0.957627
-1.886199951;-10.120200157;9.110600471;1168.000000;0.603246;0.978814
-1.968600035;-10.060299873;9.350099564;1168.000000;0.712147;0.987288
-1.826699972;-9.306200027;9.172900200;1168.000000;0.464626;0.944915
-1.362800002;-10.111200333;9.015500069;1168.000000;0.799339;0.978814
-1.595299959;-9.291399956;9.052000046;1168.000000;0.516795;0.983051
-1.773100019;-9.743599892;8.850999832;1168.000000;0.225108;0.966102
-2.510400057;-10.176400185;8.202400208;1168.000000;0.974288;0.987288
-2.382900000;-9.871100426;9.127400398;1168.000000;0.558426;0.970339
-2.454699993;-9.678099632;9.162400246;1168.000000;0.550038;0.974576
-1.709599972;-9.456199646;9.336000443;1168.000000;0.597521;0.978814
-1.873000026;-9.796699524;9.139800072;1168.000000;0.392960;0.983051
-1.167299986;-9.704899788;8.831299782;1168.000000;0.434675;0.974576
-3.104199886;-9.920900345;8.401599884;1168.000000;0.943467;0.957627
-1.896999955;-9.346099854;9.343000412;1168.000000;0.575139;0.974576
-1.423799992;-9.005700111;8.289500237;1168.000000;0.333429;0.987288
-1.414800048;-9.878399849;9.036000252;1168.000000;0.638486;0.978814
-2.017999887;-10.032999992;9.554599762;1168.000000;0.867487;0.991525
-2.148900032;-10.060099602;9.416799545;1168.000000;0.788184;0.987288
-2.398699999;-9.917599678;8.849200249;1168.000000;0.508106;0.974576
-1.773300052;-9.949600220;9.195199966;1168.000000;0.548747;0.978814
-1.267600060;-10.096300125;8.888899803;1168.000000;0.698002;0.983051
-2.857100010;-10.049400330;8.823499680;1168.000000;0.942432;0.978814
-1.699300051;-9.782299995;9.056699753;1168.000000;0.393193;0.966102
-0.592599988;-9.980600357;8.721199989;1168.000000;0.700345;0.987288
-1.597499967;-9.836999893;8.810700417;1168.000000;0.417132;0.957627
-1.402699947;-10.006799698;8.716500282;1168.000000;0.538811;0.961864
-2.355700016;-9.559300423;9.264900208;1168.000000;0.528751;0.978814
-1.154000044;-9.809900284;8.877799988;1168.000000;0.510970;0.961864
-2.897900105;-10.217499733;8.830800056;1168.000000;1.079890;0.991525
-1.305400014;-9.751299858;8.712100029;1168.000000;0.340597;0.970339
-0.642400026;-10.038800240;8.499799728;1168.000000;0.635958;0.978814
-2.267899990;-9.744600296;9.293700218;1168.000000;0.556235;0.978814
-0.696300030;-9.774700165;8.762499809;1168.000000;0.556411;0.983051
-1.318500042;-9.843400002;8.935999870;1168.000000;0.581131;0.978814
-2.560300112;-10.101400375;8.250200272;1168.000000;0.925663;0.978814
-1.637400031;-10.120800018;8.834600449;1168.000000;0.602212;0.970339
-1.500399947;-10.035099983;8.764800072;1168.000000;0.617667;0.949153
-2.276499987;-9.807399750;9.099900246;1168.000000;0.444383;0.966102
-0.927299976;-9.457400322;8.501899719;1168.000000;0.200947;0.961864
-1.892899990;-9.417699814;9.205699921;1168.000000;0.429291;0.966102
-2.893899918;-10.103199959;8.501799583;1168.000000;0.980028;0.978814
-0.812300026;-9.812800407;8.517800331;1168.000000;0.368211;0.974576
-2.030400038;-9.466600418;9.428700447;1168.000000;0.609778;0.970339
-1.849499941;-10.088999748;9.208399773;1168.000000;0.638669;0.987288
-1.602300048;-9.968299866;9.105199814;1168.000000;0.582611;0.987288
-1.932700038;-10.020500183;8.791700363;1168.000000;0.415365;0.957627
-1.705100060;-9.143300056;9.001799583;1168.000000;0.484509;0.953390
-1.435799956;-10.036499977;8.923899651;1168.000000;0.677580;0.991525
-1.898399949;-9.875399590;9.078200340;1168.000000;0.388498;0.987288
-1.956699967;-10.088899612;9.189700127;1168.000000;0.619507;0.978814
-1.773599982;-10.085200310;9.063099861;1168.000000;0.572767;0.987288
-2.214699984;-9.483300209;9.294799805;1168.000000;0.486941;0.966102
-0.821600020;-9.813500404;8.621100426;1168.000000;0.403056;0.978814
-1.580299973;-9.890000343;8.937700272;1168.000000;0.480956;0.970339
-1.758999944;-9.364999771;9.335200310;1168.000000;0.608768;0.978814
-1.853700042;-9.655200005;8.816100121;1168.000000;0.103744;0.974576
-1.416100025;-10.050800323;8.826800346;1168.000000;0.641024;0.953390
-1.641299963;-9.188099861;8.788299561;1168.000000;0.425205;0.961864
-1.525500059;-9.691300392;9.140099525;1168.000000;0.541911;0.987288
-2.269799948;-9.409500122;9.342700005;1168.000000;0.472150;0.974576
-1.957200050;-10.047100067;8.197099686;1168.000000;0.749087;0.987288
-2.020100117;-9.946299553;9.375100136;1168.000000;0.670035;0.978814
-1.642899990;-9.177300453;8.888699532;1168.000000;0.453783;0.953390
-1.984799981;-9.727999687;8.904999733;1168.000000;0.163736;0.987288
-2.512500048;-9.708399773;9.073200226;1168.000000;0.557003;0.983051
-2.268899918;-9.798899651;8.987799644;1168.000000;0.374911;0.974576
-1.135300040;-8.983699799;8.414299965;1168.000000;0.462467;0.949153
-2.057600021;-9.708700180;9.473400116;1168.000000;0.667580;0.974576
-2.182399988;-9.957699776;9.243700027;1168.000000;0.600859;0.974576
-1.726600051;-9.665900230;9.001999855;1168.000000;0.298702;0.974576
-1.296599984;-8.985899925;8.400199890;1168.000000;0.406828;0.978814
-1.529299974;-8.865300179;8.257900238;1168.000000;0.409555;0.970339
-1.626899958;-9.973799706;9.284999847;1168.000000;0.683744;0.995763
-1.874400020;-9.246000290;9.731699944;1168.000000;0.876259;0.974576
-1.874400020;-9.375800133;9.657699585;1168.000000;0.839618;0.983051
-1.897199988;-9.437899590;9.424400330;1168.000000;0.626461;0.978814
-1.349300027;-9.095299721;8.239500046;1168.000000;0.261623;0.953390
-2.203399897;-9.693099976;9.558500290;1168.000000;0.764987;0.991525
-2.048700094;-9.670299530;9.364199638;1168.000000;0.552353;0.953390
-1.337700009;-9.667599678;8.587499619;1168.000000;0.200374;0.953390
-1.629299998;-10.003100395;8.992899895;1168.000000;0.542002;0.974576
-2.975899935;-10.141400337;8.931599617;1168.000000;1.099434;1.000000
-1.828899980;-10.182800293;9.301099777;1168.000000;0.771725;0.991525
-2.421600103;-9.622799873;9.002799988;1168.000000;0.427685;0.944915
-1.259799957;-9.773599625;9.050299644;1168.000000;0.658236;0.978814
-0.716099977;-9.632800102;8.548199654;1168.000000;0.379436;0.987288
-1.984599948;-10.289500237;8.197799683;1168.000000;0.913381;0.970339
-0.500999987;-9.900199890;8.618599892;1168.000000;0.687117;0.978814
-2.012700081;-9.397700310;9.508299828;1168.000000;0.662714;0.974576
-2.027100086;-9.498600006;8.815099716;1168.000000;0.013949;0.970339
-1.662700057;-10.043199539;8.401200294;1168.000000;0.596128;0.978814
-2.003700018;-10.200699806;8.152899742;1168.000000;0.882436;0.949153
-1.213899970;-9.748399734;8.604200363;1168.000000;0.256652;0.949153
-2.362699986;-9.625200272;9.128000259;1168.000000;0.449354;0.970339
-1.027400017;-9.631299973;8.942199707;1168.000000;0.531631;0.995763
-1.797000051;-10.006799698;9.306300163;1168.000000;0.660025;0.987288
-0.983099997;-9.612600327;8.387900352;1168.000000;0.083241;0.966102
-1.913599968;-9.747900009;9.396699905;1168.000000;0.609638;0.961864
-2.107899904;-9.873299599;9.497099876;1168.000000;0.748494;0.987288
-2.054199934;-9.707500458;9.067000389;1168.000000;0.288502;0.974576
-2.262399912;-9.404299736;9.459799767;1168.000000;0.569548;0.961864
-1.967100024;-9.651000023;9.159000397;1168.000000;0.356056;0.983051
-1.906100035;-9.444399834;9.313400269;1168.000000;0.517497;0.966102
-2.203500032;-10.117899895;9.217599869;1168.000000;0.706842;0.978814
-2.341200113;-9.596199989;9.373399734;1168.000000;0.623327;0.978814
-0.630699992;-9.881299973;8.714300156;1168.000000;0.619462;0.983051
-1.967900038;-9.488599777;9.201899529;1168.000000;0.388791;0.970339
-0.442200005;-9.976499557;8.407299995;1168.000000;0.734723;0.983051
-1.526000023;-9.213899612;8.943099976;1168.000000;0.546984;0.966102
-2.198199987;-9.832799911;9.223899841;1168.000000;0.513510;0.966102
-2.635099888;-9.729700089;8.836099625;1168.000000;0.595527;0.970339
-2.444299936;-9.590499878;9.301799774;1168.000000;0.594579;0.970339
-2.084399939;-9.576299667;9.350999832;1168.000000;0.528621;0.974576
-1.117100000;-9.800999641;8.700799942;1168.000000;0.349576;0.949153
-2.059000015;-9.999400139;9.246600151;1168.000000;0.603824;0.961864
-2.058700085;-9.898400307;9.295700073;1168.000000;0.584159;0.983051
-1.805600047;-9.210399628;8.913800240;1168.000000;0.339629;0.978814
-2.220900059;-9.901000023;9.065400124;1168.000000;0.461637;0.957627
-3.007999897;-10.126399994;8.371500015;1168.000000;1.067611;0.974576
-2.325700045;-9.767700195;9.205699921;1168.000000;0.523319;0.970339
-1.255599976;-9.895700455;9.069600105;1168.000000;0.722153;0.991525
-1.357200027;-10.148200035;8.863100052;1168.000000;0.728159;0.970339
-2.062599897;-9.783300400;8.962900162;1168.000000;0.265026;0.953390
-1.122900009;-8.932200432;8.571599960;1168.000000;0.570179;0.983051
