//X;Y;Z;Scalar field;Original cloud index;ID;C2C absolute distances;Illuminance (PCV)
3.666899920;-2.787199974;11.056099892;275.000000;0.000000;nan;0.674117;0.792373
5.333700180;-3.635099888;11.357000351;275.000000;0.000000;nan;0.728881;0.847458
4.276299953;-3.108000040;10.755700111;275.000000;0.000000;nan;0.521116;0.860169
4.870999813;-3.779400110;10.835200310;275.000000;0.000000;nan;0.759401;0.834746
4.495900154;-2.438600063;11.641799927;275.000000;0.000000;nan;0.529721;0.851695
4.436999798;-2.707099915;11.878800392;275.000000;0.000000;nan;0.661828;0.927966
3.611200094;-2.466000080;11.194800377;275.000000;0.000000;nan;0.739777;0.822034
4.766099930;-2.892100096;11.913000107;275.000000;0.000000;nan;0.537474;0.923729
5.074299812;-3.683099985;11.006600380;275.000000;0.000000;nan;0.627864;0.860169
4.407400131;-2.184900045;10.920700073;275.000000;0.000000;nan;0.403632;0.877119
3.952300072;-2.839600086;11.301099777;275.000000;0.000000;nan;0.675139;0.872881
3.771800041;-2.861799955;11.148699760;275.000000;0.000000;nan;0.676685;0.830508
4.966300011;-3.446700096;11.074899673;275.000000;0.000000;nan;0.379548;0.813559
3.685100079;-2.730600119;11.246800423;275.000000;0.000000;nan;0.751466;0.894068
4.519800186;-3.208699942;11.590600014;275.000000;0.000000;nan;0.574576;0.851695
4.887499809;-3.900599957;10.780699730;275.000000;0.000000;nan;0.730374;0.860169
3.776799917;-2.996900082;10.868000031;275.000000;0.000000;nan;0.643877;0.843220
4.763299942;-3.905400038;10.813300133;275.000000;0.000000;nan;0.734295;0.847458
4.659500122;-2.439199924;11.885399818;275.000000;0.000000;nan;0.567774;0.906780
3.402499914;-2.141400099;10.816800117;275.000000;0.000000;nan;0.843436;0.906780
5.287000179;-2.878099918;11.793000221;275.000000;0.000000;nan;0.507064;0.881356
5.454299927;-3.607199907;11.282400131;275.000000;0.000000;nan;0.650257;0.826271
3.841799974;-2.314300060;11.491200447;275.000000;0.000000;nan;0.860668;0.906780
4.524799824;-2.229899883;11.673399925;275.000000;0.000000;nan;0.590881;0.877119
3.500000000;-2.593400002;11.260000229;275.000000;0.000000;nan;0.871107;0.898305
4.419799805;-3.673599958;10.836400032;275.000000;0.000000;nan;0.809761;0.932203
4.912799835;-3.385699987;11.221799850;275.000000;0.000000;nan;0.311476;0.889831
4.867000103;-3.985899925;10.889200211;275.000000;0.000000;nan;0.769816;0.906780
4.723100185;-2.689699888;11.948499680;275.000000;0.000000;nan;0.542875;0.919492
4.868299961;-3.705499887;11.060299873;275.000000;0.000000;nan;0.627643;0.847458
3.624000072;-2.294399977;10.626899719;275.000000;0.000000;nan;0.578318;0.830508
4.229199886;-2.542700052;10.917300224;275.000000;0.000000;nan;0.150664;0.877119
4.119900227;-2.529799938;11.523599625;275.000000;0.000000;nan;0.747840;0.881356
3.573199987;-2.559200048;11.381400108;275.000000;0.000000;nan;0.900794;0.847458
4.960999966;-3.630899906;11.194800377;275.000000;0.000000;nan;0.555175;0.872881
3.971400023;-2.879199982;10.702099800;275.000000;0.000000;nan;0.420379;0.834746
4.714099884;-2.753700018;11.682499886;275.000000;0.000000;nan;0.332585;0.838983
3.992300034;-3.119800091;11.424900055;275.000000;0.000000;nan;0.890756;0.877119
