//X;Y;Z;Scalar field;C2C absolute distances;Illuminance (PCV)
-28.514900208;43.740501404;15.326700211;494.000000;1.341416;0.860169
-28.351100922;43.780998230;15.332200050;494.000000;1.255643;0.783898
-26.242700577;41.239799500;15.409899712;494.000000;1.276375;0.851695
-25.098499298;43.327999115;15.641300201;494.000000;2.689563;0.991525
-26.738599777;43.656200409;14.289699554;494.000000;0.968251;0.750000
-26.916700363;43.774101257;14.941800117;494.000000;1.066788;0.855932
-26.865999222;43.988800049;14.855799675;494.000000;1.057878;0.877119
-26.961500168;43.835201263;14.595899582;494.000000;0.830986;0.758475
-28.880500793;43.125499725;14.773400307;494.000000;1.267497;0.860169
-28.465299606;43.598701477;15.008799553;494.000000;1.088825;0.834746
-28.376499176;43.604499817;15.131600380;494.000000;1.125102;0.805085
-24.647399902;43.885101318;13.422100067;494.000000;0.607862;0.728814
-27.395900726;41.224601746;15.795499802;494.000000;1.178714;0.894068
-28.588199615;41.725399017;16.104900360;494.000000;1.751497;0.970339
-27.396699905;41.381999969;16.536600113;494.000000;1.931776;0.978814
-28.393199921;42.285598755;15.461600304;494.000000;1.340173;0.927966
-28.670000076;41.439998627;16.392900467;494.000000;2.031967;0.991525
-27.257900238;41.434299469;16.308799744;494.000000;1.712955;0.949153
-28.594600677;41.467098236;16.301300049;494.000000;1.925774;0.970339
-27.346799850;41.463500977;16.486000061;494.000000;1.894999;0.949153
-26.777900696;43.376499176;14.263400078;494.000000;1.014852;0.834746
-26.746299744;42.817798615;13.269100189;494.000000;1.259809;0.754237
-26.853300095;42.878601074;13.319700241;494.000000;1.166553;0.796610
-27.078399658;42.946098328;14.539799690;494.000000;1.129091;0.872881
-26.863800049;42.835498810;13.486000061;494.000000;1.229670;0.796610
-27.090999603;42.853698730;13.321399689;494.000000;1.054663;0.771186
-26.894399643;42.935199738;13.448699951;494.000000;1.137478;0.775424
-26.786699295;43.031398773;13.410499573;494.000000;1.141075;0.779661
-27.655000687;39.258598328;16.854200363;494.000000;2.855231;0.864407
-22.739200592;41.586601257;13.656299591;494.000000;0.211990;0.796610
-23.505199432;41.085498810;14.421199799;494.000000;0.627503;0.817797
-22.536399841;41.464698792;13.433600426;494.000000;0.321342;0.750000
-27.167299271;37.823001862;16.924900055;494.000000;3.145738;0.894068
-26.374799728;41.176601410;15.219200134;494.000000;1.051026;0.860169
-29.695800781;38.661300659;15.451399803;494.000000;1.372385;0.944915
-29.211799622;38.863098145;15.784899712;494.000000;1.657404;0.940678
-29.079299927;39.103000641;15.307499886;494.000000;1.302649;0.915254
-29.111299515;38.848300934;15.410400391;494.000000;1.296415;0.851695
-29.054500580;39.189201355;15.054200172;494.000000;1.142653;0.855932
-30.174299240;37.997798920;15.337300301;494.000000;1.573739;0.915254
-33.570201874;41.063499451;15.446900368;494.000000;1.384443;0.868644
-23.429899216;42.502300262;11.590900421;494.000000;0.811163;0.758475
-24.752700806;43.871101379;12.763099670;494.000000;0.360197;0.720339
-33.645198822;40.102199554;15.521400452;494.000000;2.127059;0.919492
-24.131599426;40.692298889;14.361499786;494.000000;0.197016;0.847458
-24.319000244;40.786598206;13.002900124;494.000000;0.609417;0.716102
-26.835500717;44.725399017;12.084099770;494.000000;1.067306;0.822034
-26.576999664;44.155200958;11.097499847;494.000000;0.232697;0.745763
-26.539600372;44.419498444;11.010399818;494.000000;0.488287;0.796610
-26.397399902;44.370998383;12.214599609;494.000000;1.073851;0.822034
-26.648300171;44.211898804;11.053400040;494.000000;0.270249;0.783898
-26.936800003;44.757598877;12.073800087;494.000000;1.090840;0.775424
-25.571100235;44.633300781;11.369299889;494.000000;1.074933;0.805085
-33.116500854;41.760799408;14.162199974;494.000000;0.557154;0.851695
-33.174198151;41.301601410;14.330200195;494.000000;0.568689;0.855932
-32.996299744;41.784301758;14.004199982;494.000000;0.492003;0.851695
-27.288299561;39.644599915;14.360099792;494.000000;0.638139;0.864407
-27.311000824;39.542701721;14.530300140;494.000000;0.671938;0.872881
-26.974399567;39.063301086;14.627099991;494.000000;0.580425;0.855932
-26.574600220;40.708900452;13.822400093;494.000000;0.511620;0.834746
-26.653600693;40.978599548;14.042699814;494.000000;0.550403;0.775424
-27.358400345;39.126098633;13.662799835;494.000000;0.254658;0.889831
