//X;Y;Z;R;G;B;Scalar field;Illuminance (PCV)
-1.535199165;4.997355461;16.702659607;103;102;142;0.437408;0.911017
1.945686340;-6.377517700;16.629426956;174;161;187;1.205850;0.957627
-14.070236206;-2.437681198;11.572789192;111;108;125;0.195615;0.860169
-7.670303345;0.471625328;13.906442642;128;134;166;0.338815;0.834746
-14.078557968;-6.322487831;21.226453781;152;156;193;0.437408;0.944915
-17.366937637;0.383107185;17.799461365;135;136;167;0.705299;0.953390
-1.134115934;-7.735458374;18.963535309;135;142;152;0.391230;0.872881
-9.268104553;-7.170088768;13.268465996;74;78;79;0.479156;0.889831
-2.348416328;-7.727130890;19.282056808;127;134;160;0.437408;0.894068
-17.645624161;-0.229148865;19.717000961;93;88;92;1.016444;0.944915
-1.483205318;-4.500373840;13.397225380;93;86;68;0.437408;0.902542
-13.435518265;-3.290931702;11.995275497;170;155;186;0.437408;0.898305
-2.590618134;-2.115009785;16.191900253;39;27;39;0.276641;0.843220
-9.350692749;-0.083322883;15.187444687;98;101;154;0.338815;0.889831
-8.597125053;-8.689777374;12.909480095;45;37;52;0.437408;0.855932
-6.099328995;-1.493872762;9.953874588;128;136;155;0.195615;0.843220
-6.141571522;-2.518184185;11.759331703;179;176;203;0.338815;0.855932
-14.425724030;3.120140314;16.910560608;216;211;233;0.195615;0.843220
-9.491510391;-8.302484512;11.771607399;167;171;198;0.276641;0.868644
-6.403400898;-5.786386967;12.976736069;60;69;102;0.391230;0.851695
-12.023798943;-9.410975456;17.778202057;96;97;125;0.917515;0.911017
-14.606542587;-8.791190147;17.476562500;99;105;139;0.338815;0.830508
-12.531053543;-7.439707756;14.568289757;78;74;109;0.195615;0.813559
-13.921241760;-5.963679314;21.487466812;66;62;99;0.731924;0.949153
-8.145221710;3.025901794;19.810251236;122;130;169;0.195615;0.877119
-2.321375847;-5.612746239;19.273256302;99;100;130;0.479156;0.843220
-19.152236938;0.545435190;12.470310211;117;118;148;0.195615;0.881356
-1.282303095;4.649427414;16.892827988;158;163;185;0.479156;0.864407
-9.559309006;-7.619338989;13.323503494;70;77;95;0.276641;0.838983
-9.912990570;-4.196723461;20.127113342;236;225;239;0.553282;0.847458
-18.245548248;0.277935505;20.689962387;152;161;166;1.297562;0.978814
-9.071069717;0.933634281;20.871782303;135;154;187;0.338815;0.851695
-8.477139473;4.426166058;19.811103821;143;157;166;0.195615;0.885593
-11.752720833;-7.211355686;21.127094269;107;114;130;0.618588;0.894068
-1.317594051;-7.564914227;19.138992310;128;137;152;0.338815;0.932203
-12.789978981;2.562152386;17.766023636;134;138;175;0.806540;0.923729
-5.577785492;-1.357358456;20.947101593;129;127;148;0.874816;0.906780
-1.594753742;-4.018186092;18.577386856;158;151;185;0.874816;0.919492
-9.656388283;1.373793364;20.138063431;103;113;148;0.437408;0.805085
-9.236525536;-2.219361782;9.255106926;72;69;80;0.338815;0.851695
-10.229148865;-0.389495492;15.937734604;67;61;71;0.276641;0.847458
-7.303368568;1.984939098;20.617895126;116;128;178;0.437408;0.860169
-10.119234085;5.329435349;16.794321060;99;88;84;0.437408;0.826271
-12.441806793;1.167498708;18.070203781;126;139;171;0.586844;0.915254
-2.132925034;-0.150362015;15.162927628;159;154;174;0.195615;0.834746
1.465898514;-5.703450203;16.888076782;90;79;83;0.731924;0.957627
-6.603551865;-8.169690132;15.164074898;156;156;180;0.276641;0.855932
-7.268020153;1.944190860;15.188444138;96;102;116;0.195615;0.783898
-19.252441406;-0.179189682;18.810647964;121;127;179;0.677629;0.911017
-8.344355583;2.175329924;19.984632492;126;137;169;0.195615;0.792373
-11.481666565;5.685887337;14.710107803;66;60;70;0.276641;0.830508
-11.637075424;-7.709670544;17.613445282;77;73;100;0.896420;0.940678
-2.277829647;-0.578541636;15.615499496;114;130;156;0.648781;0.885593
-7.804125309;-9.108613014;15.848596573;156;155;189;0.195615;0.940678
-2.913423061;-5.960865974;15.288436890;48;33;36;0.276641;0.834746
-7.548631668;-1.464325428;10.677692413;183;178;198;0.276641;0.826271
-12.282989502;-1.274085045;15.718624115;124;138;175;1.140620;0.898305
-11.544189453;5.556398392;15.346759796;32;32;32;0.276641;0.805085
-7.842298508;-2.112938881;21.250669479;134;151;197;1.205850;0.953390
-8.241605759;2.509188175;20.283809662;120;131;161;0.276641;0.813559
-4.981580734;0.680864453;16.346792221;102;108;122;0.391230;0.877119
-5.549474716;-4.540225029;15.165817261;94;85;114;0.195615;0.826271
-12.603446960;2.434040308;17.561603546;171;179;198;0.731924;0.851695
-2.334117413;-9.290381432;17.235710144;83;89;115;0.276641;0.851695
-4.164399624;-0.679691672;15.935752869;125;144;161;0.276641;0.855932
-12.976770401;3.372469187;14.975030899;100;111;129;0.195615;0.830508
-7.579571247;-5.872902870;11.716153145;182;197;216;0.276641;0.843220
-4.441097736;2.097133875;17.338676453;163;186;227;0.479156;0.940678
-13.447369576;-6.471373081;16.258691788;66;67;62;0.276641;0.813559
-12.038048744;-3.827526093;17.607635498;140;149;96;0.829923;0.898305
-12.884000778;-0.845535159;13.023450851;119;133;180;0.195615;0.826271
-8.726431847;-8.919132233;15.193642616;149;144;184;0.553282;0.885593
-8.436727524;2.478520870;20.197755814;106;113;132;0.195615;0.826271
-8.896261215;2.389558315;20.537643433;132;139;165;0.391230;0.927966
1.527677536;-4.826591015;16.287763596;111;120;127;0.479156;0.911017
-4.859988213;-7.094065189;11.208039284;162;163;181;0.276641;0.923729
-2.160948038;2.813089371;17.072704315;168;174;188;0.586844;0.834746
-10.552484512;-6.888773918;13.918299675;137;142;145;0.195615;0.830508
-15.485344887;0.272288799;14.715078354;135;141;189;0.479156;0.860169
-9.549396515;0.142675638;14.371547699;131;147;180;0.195615;0.877119
-3.231439114;0.585820794;12.236152649;48;34;31;0.391230;0.949153
-17.728246689;2.642288923;10.025753021;147;153;179;0.195615;0.940678
-10.548963547;-8.046027184;17.412031174;178;187;216;0.731924;0.906780
-4.113738060;-6.103590012;18.085271835;178;184;208;0.806540;0.881356
-7.741936684;1.812899828;15.104361534;45;51;51;0.276641;0.830508
-10.686119080;-7.032802582;14.232463837;175;172;191;0.276641;0.868644
-13.729207993;-3.827380896;20.370460510;146;146;170;0.618588;0.885593
-3.525898933;3.898285151;16.425071716;169;169;177;0.437408;0.885593
-10.620655060;4.604894638;17.088819504;160;166;132;0.338815;0.838983
-6.105710030;0.584563017;16.574115753;217;213;228;0.705299;0.877119
-9.141264915;4.773001671;19.938903809;196;190;200;0.437408;0.919492
-2.770265579;-8.782492638;13.430475235;179;181;206;0.553282;0.855932
-4.557439804;2.121558666;16.962926865;163;184;241;0.276641;0.881356
-10.408376694;0.162954926;20.681537628;81;85;122;0.276641;0.894068
-9.118075371;-4.757866859;11.091860771;156;136;163;0.276641;0.843220
-11.554149628;0.729130149;9.556084633;113;135;192;0.195615;0.822034
-4.350268364;-1.161557317;15.920370102;144;161;207;0.338815;0.881356
-3.014398575;-8.891805649;13.850460052;180;186;210;0.648781;0.936441
-1.528530121;-8.813152313;18.407068253;181;190;219;0.917515;0.919492
-15.022266388;-8.504344940;16.917051315;57;72;95;0.391230;0.805085
-13.769224167;-5.801376343;20.899993896;106;108;120;0.195615;0.860169
-15.239525795;-0.651666641;15.975690842;145;148;163;0.195615;0.834746
-7.595023155;1.877744198;14.853484154;75;76;71;0.195615;0.834746
-13.184623718;-3.762227058;17.609182358;138;136;124;0.195615;0.906780
-14.720036507;1.758121490;13.179772377;121;123;148;0.276641;0.834746
-2.833030701;1.966989040;16.365449905;124;118;144;0.338815;0.843220
-8.188656807;1.864416718;20.104051590;144;144;154;0.195615;0.783898
-9.744353294;0.720614314;20.581233978;91;97;149;0.391230;0.855932
-6.691163063;-2.890185356;11.409108162;174;171;192;0.195615;0.809322
-3.638052464;-6.940942764;19.452779770;70;71;89;1.053418;0.949153
-1.265670776;4.228878975;16.996503830;202;212;239;0.437408;0.851695
-4.188128948;0.393355966;15.787973404;157;175;223;0.437408;0.915254
-0.729740381;4.220108032;16.014520645;132;138;164;0.195615;0.822034
-10.781772614;-8.328974724;12.422242165;158;157;191;0.195615;0.906780
-9.120151520;-0.598512530;10.039177895;83;97;142;0.195615;0.809322
-9.251707077;-0.256606698;20.055534363;128;149;194;0.276641;0.843220
-9.002410889;-8.501352310;15.004921913;169;171;196;0.829923;0.898305
-9.081160545;-3.739723682;16.536376953;110;119;148;0.479156;0.889831
-10.760242462;4.072354794;14.628951073;82;86;63;0.195615;0.843220
-1.981952667;-6.399497986;17.184127808;48;47;43;0.437408;0.902542
-18.811410904;-1.243328094;12.338671684;131;145;190;0.195615;0.894068
-19.983486176;-0.193271160;12.267067909;148;153;183;0.276641;0.906780
-12.406639099;-9.174547195;15.572748184;122;127;146;0.276641;0.864407
-11.678121567;-8.261419296;14.653293610;67;69;82;0.195615;0.766949
-5.088329792;0.750840664;16.318979263;69;65;98;0.437408;0.868644
-6.166393280;-0.052611828;15.919265747;110;122;136;0.437408;0.881356
-6.817431927;0.392485142;12.552628517;168;180;202;0.195615;0.877119
-8.675305367;-6.101531029;11.408525467;166;167;188;0.586844;0.809322
-8.809238434;1.238667607;20.767919540;119;124;164;0.437408;0.927966
-8.326460838;1.880013466;20.796077728;125;142;186;0.479156;0.898305
-14.556697845;2.212057352;9.765726089;107;129;179;0.276641;0.851695
-13.381848335;-3.831191063;17.589345932;139;142;177;0.276641;0.889831
-16.614044189;-1.547956467;16.199464798;65;67;66;0.586844;0.894068
-4.596943378;-6.483774662;12.772338867;118;109;136;0.276641;0.843220
-11.620434761;-8.425233841;17.550346375;96;94;115;0.586844;0.868644
-1.641056299;-8.801407814;13.492922783;143;151;162;0.195615;0.860169
-12.790770531;-8.520626068;18.276481628;192;202;227;1.157273;0.970339
-8.514124870;0.265937209;21.137460709;99;107;146;0.195615;0.851695
-15.986837387;-1.192694902;9.418200493;163;147;176;0.276641;0.889831
-7.484804153;1.643831968;14.833454132;73;82;137;0.195615;0.758475
-11.672054291;-6.178374767;10.130979538;78;87;126;0.391230;0.872881
-19.471061707;0.697672844;11.721317291;209;209;233;0.437408;0.872881
-1.065728903;-7.282804489;19.148954391;166;176;201;0.195615;0.902542
-10.350664139;-7.027171135;13.981194496;102;105;138;0.195615;0.847458
-5.606462479;-1.442326546;21.107275009;160;183;197;0.978074;0.966102
-18.041017532;2.150327921;9.270915031;93;104;150;0.276641;0.788136
-8.123568535;1.364948034;21.234491348;107;110;127;0.586844;0.957627
-13.789981842;3.281597614;17.666503906;155;160;166;0.437408;0.919492
-2.959841967;-8.929441452;13.742869377;125;116;143;0.648781;0.927966
-6.939461231;0.823795915;12.221080780;52;54;41;0.195615;0.868644
-7.761402607;-3.240054607;16.710149765;94;89;121;0.705299;0.902542
-8.561751366;-1.660615921;9.222157478;91;87;120;0.437408;0.826271
-15.096968651;-0.387662888;16.085613251;211;221;248;0.437408;0.911017
-14.100479126;-9.542141914;17.874265671;191;197;219;0.276641;0.961864
-11.121450424;-6.148450375;11.736199379;136;139;180;0.195615;0.881356
-8.440633774;0.367251515;21.191987991;113;127;162;0.195615;0.847458
-15.695965767;-1.637442589;17.150537491;157;154;175;0.618588;0.911017
-13.311760902;4.002898216;13.731542587;96;103;149;0.276641;0.817797
-18.381731033;1.396479607;17.241519928;89;93;120;0.195615;0.932203
-8.849405289;2.814887047;20.612577438;205;197;210;0.705299;0.974576
-11.268508911;3.719218731;14.934932709;123;121;100;0.338815;0.809322
-8.068445206;-9.021088600;15.380411148;176;180;209;0.391230;0.855932
-9.215020180;-9.117862701;13.405854225;114;129;152;0.338815;0.889831
-10.332811356;-0.024567485;15.458204269;90;88;91;0.276641;0.830508
-11.414645195;-4.480238438;18.670921326;34;20;11;0.391230;0.894068
-10.441236496;-0.475874543;16.246467590;106;116;167;0.586844;0.915254
-8.249663353;1.900872827;20.555515289;95;102;144;0.338815;0.775424
-16.848278046;1.059437990;9.516623497;123;106;140;0.338815;0.834746
-16.284696579;-0.306621075;15.437350273;109;120;148;0.705299;0.885593
-9.488753319;-2.007474422;6.868916988;129;113;97;0.618588;0.915254
-1.496190548;-5.699121475;19.491470337;138;143;173;0.618588;0.966102
-0.376108170;-7.191937447;15.458791733;88;93;115;0.195615;0.851695
-7.715547562;1.158325672;15.554330826;113;125;163;0.276641;0.881356
-8.657566071;1.513256907;20.639177322;91;92;123;0.276641;0.813559
-13.257786751;3.834787846;15.282756805;46;49;64;0.806540;0.902542
-7.583130836;2.343502998;20.289854050;110;116;140;0.195615;0.771186
-10.733723640;3.994801998;19.089096069;148;155;183;0.782459;0.894068
-8.158248901;-6.073733330;11.883772850;119;122;153;0.479156;0.826271
-1.104249477;-7.032862186;19.053075790;81;87;111;0.195615;0.851695
-11.866404533;1.121254683;10.066681862;243;239;238;0.195615;0.868644
-0.221579552;-5.974680901;16.287752151;78;83;103;0.276641;0.915254
-11.470150948;2.756505728;18.083778381;143;158;197;0.437408;0.894068
-14.656591415;-0.668741345;15.824539185;111;133;172;0.618588;0.923729
-12.530593872;1.685136795;12.232309341;92;98;130;0.338815;0.834746
-3.856995344;-6.045512199;15.432124138;170;174;209;0.731924;0.860169
-11.942290306;-2.732789993;15.894973755;128;136;172;0.195615;0.813559
-13.176559448;4.433534145;16.962772369;129;143;192;0.276641;0.868644
-1.696498632;4.111893654;17.538272858;168;174;196;0.705299;0.966102
-8.314535141;1.610894322;20.821165085;78;78;102;0.586844;0.906780
-8.198561668;4.477275372;19.600044250;140;147;163;0.479156;0.927966
-7.865988731;-1.821732044;9.864890099;35;43;62;0.195615;0.788136
-16.800985336;1.295810223;19.676210403;149;164;207;0.276641;0.898305
-8.248973846;4.999067307;18.380386353;73;60;44;0.437408;0.881356
-15.243041992;-0.861907721;15.941965103;149;155;181;0.195615;0.860169
-13.543234825;-5.885303974;15.732009888;64;66;87;0.195615;0.860169
-7.744049549;1.638860345;14.722291946;59;52;70;0.195615;0.783898
-5.853594780;1.081675053;15.118460655;89;97;146;0.479156;0.788136
-13.586747169;-4.976361275;21.160396576;101;99;121;0.731924;0.923729
-6.863294601;2.755816460;15.865207672;43;45;57;0.195615;0.822034
-18.436792374;1.387816668;9.701477051;48;46;57;0.195615;0.868644
-8.682800293;-0.318499565;9.596491814;177;181;208;0.195615;0.792373
-8.852973938;2.245972633;20.034290314;109;109;137;0.195615;0.758475
-8.279850006;-0.577016354;7.956979752;118;121;138;0.195615;0.868644
-8.031442642;2.565534115;19.961410522;105;96;97;0.195615;0.766949
-8.005355835;-3.429854393;10.629338264;58;53;73;0.195615;0.822034
-11.502738953;5.170272350;16.866905212;41;42;62;0.586844;0.868644
-3.924499512;-6.897226810;15.683471680;136;143;171;0.618588;0.885593
-7.664414883;2.458291769;15.315179825;115;126;172;0.276641;0.894068
-1.428014755;-4.970232487;13.506250381;138;153;186;0.195615;0.906780
