//X;Y;Z;Scalar field;C2C absolute distances;Illuminance (PCV)
-29.907600403;14.747799873;6.480700016;208.000000;0.580868;0.894068
-29.326400757;14.624099731;6.770899773;208.000000;0.533493;0.906780
-29.312700272;14.652500153;6.624700069;208.000000;0.391589;0.902542
-29.832399368;15.849699974;5.468800068;208.000000;0.524374;0.911017
-29.767599106;15.009300232;5.978499889;208.000000;0.163499;0.872881
-28.904300690;14.701899529;6.534800053;208.000000;0.307358;0.915254
-28.997200012;16.674999237;6.710899830;208.000000;0.205933;0.902542
-29.087699890;14.736599922;6.735099792;208.000000;0.476325;0.830508
-29.586000443;14.523699760;6.379899979;208.000000;0.276768;0.872881
-28.926799774;14.773400307;7.007299900;208.000000;0.451306;0.894068
-30.235500336;19.036699295;7.503499985;208.000000;0.905283;0.932203
-28.840999603;14.849200249;6.283199787;208.000000;0.165240;0.902542
-28.834299088;16.112400055;5.411699772;208.000000;0.514012;0.923729
-29.444499969;15.353099823;7.330200195;208.000000;0.556205;0.889831
-28.906900406;16.327499390;5.375899792;208.000000;0.404993;0.911017
-29.295000076;14.692899704;6.460400105;208.000000;0.237783;0.898305
-28.715000153;16.356700897;9.289699554;208.000000;0.869923;0.961864
-30.264699936;14.822299957;6.626200199;208.000000;0.879187;0.911017
-28.988399506;14.790200233;7.526000023;208.000000;0.678233;0.940678
-29.910200119;14.967900276;6.234099865;208.000000;0.338589;0.889831
-28.921899796;15.883999825;6.235300064;208.000000;0.263528;0.902542
-28.289100647;16.451099396;9.084300041;208.000000;0.563799;0.932203
-28.985599518;16.141300201;5.423200130;208.000000;0.518922;0.898305
-28.554100037;15.375100136;6.978799820;208.000000;0.256351;0.911017
-30.761699677;18.267599106;6.478099823;208.000000;0.192009;0.915254
-28.871999741;16.378999710;5.575399876;208.000000;0.408555;0.902542
-29.149099350;14.775099754;6.928699970;208.000000;0.512196;0.898305
-29.197399139;14.734399796;7.092299938;208.000000;0.570499;0.911017
-29.025999069;15.942399979;6.375199795;208.000000;0.316434;0.923729
-29.199899673;14.734199524;6.409299850;208.000000;0.162589;0.872881
-29.431100845;14.645000458;6.988999844;208.000000;0.756330;0.894068
-30.412000656;15.601099968;5.434599876;208.000000;0.920241;0.898305
-30.358999252;14.581700325;6.675799847;208.000000;1.061828;0.953390
-28.906099319;14.763299942;6.455100060;208.000000;0.295991;0.898305
-30.125499725;15.456399918;5.849999905;208.000000;0.673458;0.877119
-30.233800888;14.774299622;6.164000034;208.000000;0.670712;0.881356
-30.085100174;15.000000000;6.327799797;208.000000;0.528968;0.906780
-29.687000275;15.267499924;6.758999825;208.000000;0.710879;0.902542
-29.734500885;15.968400002;5.380499840;208.000000;0.423090;0.877119
-29.408700943;14.826499939;7.539299965;208.000000;0.824632;0.953390
-29.417699814;14.808799744;7.135399818;208.000000;0.662506;0.894068
-29.382699966;18.216100693;8.273500443;208.000000;1.027377;0.915254
-29.614999771;15.916500092;5.397399902;208.000000;0.379088;0.855932
-29.064500809;14.773200035;7.119800091;208.000000;0.487295;0.919492
-30.232599258;15.805800438;5.680200100;208.000000;0.948503;0.927966
-30.019300461;14.800499916;6.432700157;208.000000;0.592730;0.919492
-29.138700485;15.224300385;6.116300106;208.000000;0.191649;0.864407
-30.268199921;14.467499733;6.699200153;208.000000;1.027999;0.940678
-29.552000046;14.827099800;5.892700195;208.000000;0.177571;0.889831
-29.690799713;14.706500053;6.056499958;208.000000;0.308148;0.872881
-29.203500748;16.038299561;5.444699764;208.000000;0.526568;0.894068
-28.854200363;16.103000641;6.623000145;208.000000;0.360834;0.872881
-29.714000702;15.037599564;6.254799843;208.000000;0.211366;0.906780
-28.551799774;19.363000870;4.858500004;208.000000;0.267240;0.889831
-28.508699417;20.289699554;6.185999870;208.000000;1.033128;0.902542
-29.772699356;15.112899780;6.707300186;208.000000;0.664834;0.936441
-28.469200134;14.979399681;6.274000168;208.000000;0.311719;0.881356
-30.122999191;14.595399857;6.860300064;208.000000;0.988014;0.927966
-29.070299149;15.879699707;7.606900215;208.000000;0.690107;0.902542
-29.910800934;14.427900314;6.839600086;208.000000;0.834754;0.944915
-29.998399734;15.433799744;5.678699970;208.000000;0.654033;0.915254
-30.506399155;15.650400162;5.399400234;208.000000;0.876672;0.932203
-28.569299698;15.373200417;6.708000183;208.000000;0.174372;0.885593
-27.974899292;20.843599319;6.942200184;208.000000;0.978267;0.953390
-28.752899170;15.006099701;7.079899788;208.000000;0.282292;0.889831
-26.381999969;15.605799675;6.307700157;208.000000;0.601351;0.877119
-29.885599136;15.562000275;5.694200039;208.000000;0.665398;0.923729
-29.002399445;15.215200424;7.455999851;208.000000;0.454124;0.911017
-24.359600067;16.163499832;4.827499866;208.000000;0.215422;0.881356
-29.855899811;16.020599365;5.569600105;208.000000;0.652756;0.898305
-30.092500687;14.534299850;6.691199780;208.000000;0.865979;0.923729
-29.138799667;14.675399780;7.326799870;208.000000;0.671566;0.902542
-29.522800446;14.867500305;6.639299870;208.000000;0.500573;0.915254
-30.184700012;18.571300507;7.260099888;208.000000;0.613783;0.889831
-24.464399338;14.955599785;6.538599968;208.000000;0.289504;0.906780
-30.430799484;14.758299828;6.262100220;208.000000;0.874657;0.906780
-28.982900620;14.837100029;7.238800049;208.000000;0.454748;0.923729
-30.443099976;15.343799591;5.476600170;208.000000;0.978633;0.911017
-29.291000366;14.785799980;6.262100220;208.000000;0.136266;0.864407
-29.665899277;15.316599846;6.513599873;208.000000;0.526528;0.906780
-30.422100067;15.176099777;6.554900169;208.000000;0.940970;0.932203
-29.261499405;15.277099609;6.208399773;208.000000;0.321034;0.881356
-29.210599899;14.750399590;6.538300037;208.000000;0.288206;0.889831
-24.077299118;16.637899399;5.262199879;208.000000;0.641946;0.881356
-29.395200729;16.221300125;8.108300209;208.000000;0.900882;0.902542
-30.203300476;15.184399605;5.992499828;208.000000;0.591455;0.923729
-29.132400513;15.127699852;6.261499882;208.000000;0.266281;0.915254
-28.850400925;14.791199684;6.813499928;208.000000;0.470638;0.881356
-30.113199234;16.370599747;7.603499889;208.000000;1.068373;0.927966
-29.277799606;15.704700470;6.943500042;208.000000;0.281357;0.898305
-29.509300232;14.554599762;6.991000175;208.000000;0.769134;0.894068
-30.102399826;14.542699814;6.458199978;208.000000;0.775273;0.885593
-29.461500168;14.649299622;6.785299778;208.000000;0.560722;0.894068
-28.856399536;15.486000061;7.195700169;208.000000;0.229274;0.906780
-29.488399506;14.723199844;7.104400158;208.000000;0.765737;0.911017
-27.513799667;15.320699692;5.172900200;208.000000;0.551896;0.919492
-29.370100021;14.605799675;6.369400024;208.000000;0.132962;0.868644
-29.504999161;14.714900017;6.417500019;208.000000;0.255362;0.885593
-28.737300873;15.209400177;6.689199924;208.000000;0.168034;0.919492
-30.224399567;14.660499573;6.602200031;208.000000;0.892711;0.915254
-29.631799698;14.880399704;5.953400135;208.000000;0.170349;0.868644
-30.021699905;14.357999802;6.475900173;208.000000;0.740657;0.932203
-28.839399338;14.800100327;7.128399849;208.000000;0.447552;0.902542
-28.895599365;14.861399651;7.551799774;208.000000;0.652638;0.915254
-30.295499802;15.779299736;5.568900108;208.000000;0.928918;0.906780
-28.423200607;14.986900330;6.636499882;208.000000;0.508545;0.894068
-30.239799500;14.776200294;6.345099926;208.000000;0.725455;0.911017
-29.226499557;14.691399574;6.836699963;208.000000;0.574068;0.894068
-29.232900620;15.983200073;7.560299873;208.000000;0.738789;0.894068
-28.983200073;16.038999557;6.630499840;208.000000;0.379550;0.936441
-30.040700912;15.558699608;5.861800194;208.000000;0.682379;0.902542
-28.853200912;16.244800568;8.521800041;208.000000;0.698004;0.927966
-30.139600754;15.816800117;5.524199963;208.000000;0.776587;0.902542
-30.372400284;14.713800430;6.732600212;208.000000;1.055420;0.936441
-29.171899796;14.850299835;6.437699795;208.000000;0.238491;0.906780
-29.860000610;15.351400375;5.658500195;208.000000;0.546366;0.894068
-28.792600632;16.199399948;6.376100063;208.000000;0.381270;0.911017
-29.074600220;14.774600029;7.387899876;208.000000;0.608293;0.872881
-28.871500015;15.074899673;7.481999874;208.000000;0.497293;0.877119
-29.371599197;14.601900101;6.490399837;208.000000;0.252512;0.847458
-30.186100006;14.452300072;6.544400215;208.000000;0.893056;0.927966
-30.113599777;16.381299973;7.342500210;208.000000;0.893413;0.906780
-30.276899338;15.664799690;5.684000015;208.000000;0.967632;0.932203
-30.438699722;15.001299858;6.634500027;208.000000;0.991737;0.940678
-28.832199097;16.573200226;9.523599625;208.000000;0.998540;0.995763
-30.377300262;15.203800201;5.394299984;208.000000;0.878004;0.894068
-29.255699158;15.322899818;7.124300003;208.000000;0.323759;0.911017
-29.133199692;15.858599663;7.390600204;208.000000;0.509348;0.894068
-29.950300217;14.683500290;6.785299778;208.000000;0.813458;0.919492
-29.853099823;20.679700851;3.047899961;208.000000;0.345634;0.881356
-28.949300766;15.432700157;7.258800030;208.000000;0.271371;0.902542
-24.499599457;18.008699417;4.622900009;208.000000;0.700979;0.902542
-30.189399719;15.154700279;5.638500214;208.000000;0.707550;0.885593
-30.330299377;14.799099922;6.479899883;208.000000;0.852895;0.915254
-29.237300873;15.069299698;6.130700111;208.000000;0.141594;0.889831
-28.927000046;15.052599907;6.853600025;208.000000;0.216723;0.885593
-29.610099792;14.737899780;7.500599861;208.000000;0.978467;0.953390
-28.462999344;15.023699760;6.522799969;208.000000;0.497058;0.902542
-29.316499710;15.312500000;7.514999866;208.000000;0.634621;0.919492
-29.530300140;14.576499939;6.307199955;208.000000;0.186112;0.868644
-28.165700912;19.763000488;4.258999825;208.000000;0.332643;0.847458
-30.475500107;15.089300156;6.426700115;208.000000;0.920951;0.932203
-29.389900208;14.948800087;7.607800007;208.000000;0.810362;0.936441
-27.545000076;14.787300110;8.531299591;208.000000;1.219304;0.949153
-29.806499481;15.909700394;5.606400013;208.000000;0.636591;0.944915
-28.838899612;16.240600586;6.030399799;208.000000;0.508606;0.885593
-29.639499664;15.579999924;7.263700008;208.000000;0.652390;0.940678
-29.973499298;14.378499985;6.314300060;208.000000;0.652397;0.906780
-29.583099365;15.428999901;7.412499905;208.000000;0.693250;0.936441
-27.533199310;16.006700516;8.408499718;208.000000;1.049495;0.919492
-30.264400482;18.405199051;7.768599987;208.000000;0.668996;0.919492
-28.878900528;16.381700516;5.704400063;208.000000;0.358163;0.932203
-28.832700729;16.140699387;6.240600109;208.000000;0.364336;0.902542
-30.217800140;14.476200104;6.366600037;208.000000;0.872253;0.911017
-28.075099945;20.379499435;6.117599964;208.000000;1.043563;0.881356
-29.966100693;14.407199860;6.739200115;208.000000;0.809841;0.923729
-28.980800629;20.886400223;2.179399967;208.000000;0.154997;0.889831
-28.702999115;14.861200333;6.288700104;208.000000;0.160540;0.894068
-27.086200714;16.352399826;9.268300056;208.000000;1.187600;0.953390
-29.446199417;14.616700172;6.650199890;208.000000;0.423049;0.898305
-24.494199753;17.596399307;4.625599861;208.000000;0.497132;0.906780
-28.370599747;14.973799706;7.573999882;208.000000;0.749606;0.932203
-30.018800735;14.414799690;6.914700031;208.000000;0.963646;0.940678
-29.260200500;15.252300262;6.021500111;208.000000;0.176572;0.894068
-30.031700134;14.379699707;6.643000126;208.000000;0.813574;0.927966
-28.801599503;14.800499916;7.475999832;208.000000;0.640645;0.911017
