//X;Y;Z;Scalar field;Approx. distances;Illuminance (PCV)
-0.469099998;-11.322099686;9.699799538;589.000000;0.192182;0.851695
-1.214499950;-11.107899666;9.920800209;589.000000;0.332869;0.834746
-0.978100002;-11.344300270;9.889599800;589.000000;0.429732;0.881356
-1.066699982;-12.010999680;10.118399620;589.000000;0.192182;0.932203
-0.542500019;-13.074700356;9.969200134;589.000000;0.303866;0.889831
-0.535899997;-11.397299767;9.626199722;589.000000;0.192182;0.796610
-0.505299985;-13.086999893;10.388500214;589.000000;0.192182;0.834746
-1.089900017;-11.343099594;9.931200027;589.000000;0.384364;0.847458
-1.633399963;-12.494199753;8.772700310;589.000000;0.665738;0.822034
-0.785499990;-12.891400337;10.555100441;589.000000;0.332869;0.830508
-1.130100012;-10.679200172;10.144900322;589.000000;0.192182;0.915254
-1.604099989;-12.437700272;9.216199875;589.000000;0.384364;0.894068
-1.095999956;-12.388099670;9.651700020;589.000000;0.192182;0.847458
-0.430999994;-11.615500450;9.933500290;589.000000;0.450707;0.902542
-0.631900012;-13.071399689;10.900699615;589.000000;0.489970;0.902542
-1.648100019;-10.989399910;9.706100464;589.000000;0.384364;0.834746
-1.122300029;-12.172699928;10.972700119;589.000000;0.489970;0.889831
-1.108299971;-10.762499809;10.039899826;589.000000;0.303866;0.894068
-0.917400002;-12.926400185;10.112199783;589.000000;0.303866;0.847458
-1.245200038;-11.917900085;9.501199722;589.000000;0.192182;0.860169
-1.512699962;-10.691100121;9.633600235;589.000000;0.543572;0.868644
-0.773599982;-11.530900002;9.628899574;589.000000;0.303866;0.851695
-1.012599945;-12.633199692;11.030599594;589.000000;0.271786;0.885593
-0.974699974;-11.345299721;9.631099701;589.000000;0.192182;0.822034
-1.447199941;-12.346199989;9.211999893;589.000000;0.235374;0.864407
-1.010400057;-10.750699997;9.897399902;589.000000;0.192182;0.868644
-1.399299979;-12.283300400;9.332099915;589.000000;0.192182;0.894068
-1.143200040;-10.789999962;9.742099762;589.000000;0.271786;0.864407
-0.823499978;-11.070500374;9.687399864;589.000000;0.192182;0.843220
-0.536499977;-12.976400375;10.529600143;589.000000;0.332869;0.830508
-0.964200020;-13.028100014;10.125499725;589.000000;0.303866;0.868644
-0.778800011;-12.743800163;10.469099998;589.000000;0.384364;0.843220
-0.693599999;-13.081600189;10.577500343;589.000000;0.303866;0.834746
-1.457399964;-12.508399963;9.121000290;589.000000;0.303866;0.860169
-1.355700016;-11.558600426;10.058300018;589.000000;0.489970;0.894068
-0.724399984;-11.011400223;9.946200371;589.000000;0.303866;0.889831
-0.736400008;-11.136199951;9.806799889;589.000000;0.271786;0.864407
-0.663299978;-11.106800079;9.728300095;589.000000;0.192182;0.822034
-0.792100012;-13.032299995;10.432800293;589.000000;0.192182;0.788136
-1.726099968;-12.363800049;9.197799683;589.000000;0.450707;0.855932
-1.020499945;-11.313400269;10.049900055;589.000000;0.489970;0.877119
-1.144899964;-11.382300377;9.812199593;589.000000;0.192182;0.868644
-0.898299992;-12.956899643;10.653100014;589.000000;0.192182;0.872881
-0.669300020;-10.938699722;9.405300140;589.000000;0.303866;0.809322
-1.216199994;-12.412799835;10.599399567;589.000000;0.192182;0.843220
-1.728600025;-11.121999741;9.864800453;589.000000;0.450707;0.877119
-0.495000005;-12.941699982;10.442999840;589.000000;0.332869;0.885593
-0.490300000;-13.102800369;10.110400200;589.000000;0.303866;0.851695
-0.854499996;-12.838600159;10.707200050;589.000000;0.384364;0.855932
-0.788500011;-12.934900284;10.823499680;589.000000;0.450707;0.881356
-0.731500030;-13.162300110;10.747400284;589.000000;0.303866;0.860169
-1.612200022;-10.797400475;10.077400208;589.000000;0.192182;0.915254
-0.451999992;-11.481399536;9.630700111;589.000000;0.235374;0.822034
-1.010100007;-12.340399742;9.363900185;589.000000;0.192182;0.822034
-0.959900022;-12.340100288;9.725199699;589.000000;0.271786;0.847458
-0.941999972;-12.422900200;10.874300003;589.000000;0.235374;0.860169
-1.308599949;-11.495800018;9.903599739;589.000000;0.303866;0.847458
-1.122599959;-12.564200401;10.973799706;589.000000;0.271786;0.864407
-1.221099973;-11.899399757;9.683699608;589.000000;0.303866;0.838983
-1.638399959;-12.532899857;8.957799911;589.000000;0.489970;0.864407
-0.801500022;-12.736200333;10.854700089;589.000000;0.332869;0.881356
-0.607699990;-11.418899536;9.732099533;589.000000;0.384364;0.847458
-0.690400004;-11.169099808;9.912400246;589.000000;0.384364;0.923729
-1.300999999;-12.401399612;8.898599625;589.000000;0.429732;0.864407
-1.534700036;-12.897299767;10.584799767;589.000000;0.271786;0.847458
-0.818799973;-13.180299759;10.696900368;589.000000;0.303866;0.868644
-0.673399985;-11.139499664;10.082699776;589.000000;0.407679;0.953390
-1.169299960;-11.000800133;9.924500465;589.000000;0.303866;0.834746
-1.374400020;-12.408399582;9.130100250;589.000000;0.192182;0.838983
-1.055999994;-12.203300476;9.467499733;589.000000;0.192182;0.864407
-1.073699951;-12.486000061;10.846799850;589.000000;0.192182;0.847458
-0.880100012;-11.430199623;9.783699989;589.000000;0.332869;0.877119
-1.046100020;-11.366999626;9.791199684;589.000000;0.271786;0.847458
-1.178099990;-11.756299973;10.025099754;589.000000;0.489970;0.872881
-0.422300011;-11.562800407;9.727899551;589.000000;0.235374;0.834746
-1.417700052;-11.209899902;10.079999924;589.000000;0.332869;0.906780
-0.310799986;-11.299599648;9.807299614;589.000000;0.235374;0.923729
-0.383100003;-11.647399902;9.496800423;589.000000;0.192182;0.847458
-0.415399998;-11.517000198;9.822799683;589.000000;0.303866;0.898305
-1.092700005;-12.468099594;10.990300179;589.000000;0.303866;0.868644
-1.130800009;-11.821499825;9.928400040;589.000000;0.508466;0.855932
-1.219900012;-12.562299728;10.446000099;589.000000;0.192182;0.898305
-0.469799995;-11.654800415;9.659199715;589.000000;0.332869;0.830508
-0.784799993;-11.011500359;9.611200333;589.000000;0.192182;0.851695
-1.128900051;-10.651399612;9.970199585;589.000000;0.303866;0.894068
-0.890299976;-12.564900398;11.011500359;589.000000;0.303866;0.881356
-0.816299975;-11.577300072;9.506600380;589.000000;0.384364;0.758475
-1.184200048;-12.244500160;10.818400383;589.000000;0.303866;0.881356
-1.156700015;-10.827899933;9.966899872;589.000000;0.303866;0.877119
-0.808499992;-12.822400093;10.363800049;589.000000;0.303866;0.855932
-1.706400037;-12.450799942;8.889200211;589.000000;0.576546;0.830508
-0.581399977;-12.076700211;9.873600006;589.000000;0.332869;0.915254
-1.616899967;-11.707699776;9.501500130;589.000000;0.303866;0.864407
-1.128000021;-12.264599800;9.866200447;589.000000;0.271786;0.847458
-0.931500018;-12.978199959;10.217200279;589.000000;0.192182;0.864407
-1.044999957;-12.418000221;9.797699928;589.000000;0.235374;0.868644
-1.131199956;-12.232799530;9.602100372;589.000000;0.271786;0.860169
-1.155200005;-11.488499641;10.082599640;589.000000;0.450707;0.911017
-1.042199969;-11.990400314;9.921999931;589.000000;0.235374;0.868644
-1.221500039;-12.476499557;8.881999969;589.000000;0.407679;0.860169
-1.689800024;-11.604000092;9.395999908;589.000000;0.303866;0.860169
-0.678200006;-13.003399849;10.509300232;589.000000;0.303866;0.830508
-1.436699986;-10.898300171;10.057499886;589.000000;0.192182;0.915254
-0.612999976;-11.612600327;9.732899666;589.000000;0.470748;0.838983
-1.626600027;-11.404600143;9.354200363;589.000000;0.192182;0.877119
-1.037500024;-10.879699707;9.995599747;589.000000;0.235374;0.864407
-1.393200040;-11.651200294;9.614299774;589.000000;0.271786;0.885593
-0.720499992;-11.551500320;9.845499992;589.000000;0.384364;0.889831
-1.003800035;-12.306500435;9.835399628;589.000000;0.192182;0.911017
-0.764699996;-10.929200172;9.453300476;589.000000;0.192182;0.822034
-0.784300029;-11.691399574;9.833700180;589.000000;0.489970;0.919492
-1.687700033;-12.363100052;8.953800201;589.000000;0.429732;0.843220
-0.189799994;-11.750399590;9.812999725;589.000000;0.384364;0.923729
-1.691699982;-10.964699745;10.057700157;589.000000;0.332869;0.927966
-0.962000012;-11.314800262;9.744999886;589.000000;0.303866;0.838983
-0.961000025;-12.230899811;9.691800117;589.000000;0.303866;0.843220
-0.547399998;-11.522899628;9.798700333;589.000000;0.332869;0.889831
-0.992699981;-10.879500389;9.855299950;589.000000;0.192182;0.872881
-0.193900004;-11.661899567;9.661600113;589.000000;0.192182;0.860169
-0.972000003;-12.399399757;9.599599838;589.000000;0.235374;0.860169
-1.086699963;-11.102999687;10.073900223;589.000000;0.332869;0.919492
-1.266899943;-11.955900192;9.834600449;589.000000;0.407679;0.881356
-1.282699943;-11.747400284;10.048399925;589.000000;0.576546;0.885593
-0.983399987;-11.482099533;9.647100449;589.000000;0.235374;0.847458
-0.480300009;-12.894700050;10.280799866;589.000000;0.429732;0.830508
-0.499900013;-12.996899605;10.904500008;589.000000;0.592344;0.889831
-1.647199988;-12.631999969;9.019900322;589.000000;0.489970;0.894068
-1.185799956;-12.655200005;10.871000290;589.000000;0.192182;0.847458
-1.249799967;-11.108200073;10.131899834;589.000000;0.235374;0.906780
-1.215499997;-11.830499649;10.081899643;589.000000;0.384364;0.881356
-1.083600044;-12.200599670;9.958999634;589.000000;0.192182;0.927966
-1.598700047;-12.762200356;10.441499710;589.000000;0.303866;0.864407
-0.509999990;-12.761699677;10.770400047;589.000000;0.560302;0.885593
-1.144899964;-11.895700455;9.597700119;589.000000;0.303866;0.826271
-1.424100041;-12.303700447;8.771499634;589.000000;0.622741;0.843220
-1.118100047;-11.390600204;10.027400017;589.000000;0.489970;0.868644
-0.748099983;-11.238200188;9.811499596;589.000000;0.271786;0.830508
-1.393700004;-11.324099541;9.872200012;589.000000;0.271786;0.847458
-1.361700058;-12.999699593;10.989800453;589.000000;0.429732;0.906780
-1.282799959;-11.780599594;10.174799919;589.000000;0.592344;0.974576
-1.606199980;-12.446200371;8.865900040;589.000000;0.576546;0.843220
-0.662999988;-10.817899704;9.491000175;589.000000;0.192182;0.847458
-1.422600031;-11.830599785;9.861399651;589.000000;0.429732;0.864407
-0.962800026;-12.533200264;9.790300369;589.000000;0.303866;0.885593
-1.033599973;-12.312000275;9.463299751;589.000000;0.192182;0.881356
-0.547100008;-12.789899826;10.464400291;589.000000;0.450707;0.834746
-1.382500052;-11.610799789;10.146400452;589.000000;0.607733;0.927966
-0.488900006;-12.872400284;10.793100357;589.000000;0.560302;0.872881
-0.762000024;-13.168600082;10.546600342;589.000000;0.192182;0.864407
-0.890600026;-12.812800407;10.145000458;589.000000;0.235374;0.877119
-1.313199997;-12.362000465;10.832799911;589.000000;0.332869;0.847458
-0.696300030;-12.752799988;11.015800476;589.000000;0.508466;0.906780
-1.089800000;-12.334500313;9.564200401;589.000000;0.192182;0.885593
-1.026100039;-11.244099617;10.159600258;589.000000;0.384364;0.919492
-0.833999991;-11.520999908;9.861700058;589.000000;0.384364;0.889831
-0.986899972;-11.470399857;9.801600456;589.000000;0.332869;0.885593
-0.623899996;-13.028499603;10.638699532;589.000000;0.332869;0.851695
-1.026600003;-10.668600082;10.012700081;589.000000;0.303866;0.915254
-1.198199987;-11.027000427;10.026200294;589.000000;0.235374;0.864407
-0.612900019;-12.763400078;10.312299728;589.000000;0.489970;0.860169
-0.463699996;-11.900199890;9.772700310;589.000000;0.470748;0.894068
-0.485399991;-12.810400009;10.378800392;589.000000;0.429732;0.860169
-0.539900005;-12.890399933;10.943599701;589.000000;0.622741;0.868644
-1.473799944;-11.137100220;9.953700066;589.000000;0.332869;0.847458
-1.133100033;-12.126700401;10.856900215;589.000000;0.429732;0.889831
-1.485999942;-12.373299599;9.319000244;589.000000;0.271786;0.868644
-1.590000033;-11.621199608;9.383199692;589.000000;0.192182;0.868644
-0.804099977;-11.125000000;10.082300186;589.000000;0.384364;0.936441
-1.157600045;-12.429300308;10.832500458;589.000000;0.192182;0.851695
-1.108199954;-11.923600197;9.716799736;589.000000;0.332869;0.889831
-0.519100010;-13.091199875;10.728400230;589.000000;0.407679;0.838983
-0.757499993;-12.834099770;10.202500343;589.000000;0.332869;0.838983
-0.963400006;-12.237799644;9.506999969;589.000000;0.303866;0.877119
-1.458600044;-11.850399971;10.028900146;589.000000;0.607733;0.889831
-0.430500001;-12.908699989;10.680800438;589.000000;0.560302;0.894068
-0.573400021;-13.218600273;10.577099800;589.000000;0.235374;0.838983
-1.376299977;-10.911299706;9.838700294;589.000000;0.303866;0.817797
-1.065400004;-11.339599609;10.155500412;589.000000;0.489970;0.919492
-1.526900053;-11.056400299;10.011400223;589.000000;0.235374;0.889831
