//X;Y;Z;Illuminance (PCV)
5.641499996;-16.429300308;8.491399765;1
6.118899822;-15.622900009;7.744800091;1
5.101799965;-16.490600586;8.227100372;1
5.239699841;-15.983499527;7.791399956;1
6.160600185;-16.986999512;8.064399719;1
5.766399860;-16.698799133;9.173199654;1
4.521900177;-17.001899719;7.597400188;1
5.532199860;-16.329599380;8.206500053;1
6.131599903;-16.789600372;9.781700134;1
5.289500237;-17.686100006;8.545100212;1
5.072299957;-16.923999786;7.775800228;1
5.197800159;-16.503599167;8.086600304;1
4.706600189;-17.085199356;7.695300102;1
6.062699795;-16.692600250;8.903900146;1
4.884399891;-16.990499496;7.713600159;1
6.118000031;-16.673400879;9.749500275;1
6.390699863;-16.828800201;8.779600143;1
5.224899769;-16.460599899;8.275199890;1
5.492300034;-15.638999939;7.611599922;1
5.292699814;-17.144599915;8.737299919;1
4.762499809;-17.404499054;8.040399551;1
6.051799774;-15.454199791;8.937000275;1
5.881700039;-17.000299454;9.064599991;1
6.098400116;-16.415700912;8.268400192;1
6.012499809;-16.855800629;9.710399628;1
6.658400059;-16.415700912;9.770400047;1
5.725800037;-17.040500641;8.702899933;1
6.132800102;-17.157499313;8.008099556;1
5.377299786;-15.651300430;7.754000187;1
5.040100098;-17.349800110;8.568900108;1
4.554299831;-17.027399063;7.961900234;1
5.602799892;-15.443799973;7.918300152;1
5.698599815;-15.599200249;7.779600143;1
4.699999809;-17.101400375;7.970200062;1
5.310599804;-15.865900040;7.679599762;1
5.250100136;-17.003299713;8.393500328;1
6.113200188;-16.627500534;9.640899658;1
5.872499943;-16.797000885;9.146900177;1
5.983399868;-16.469200134;9.171199799;1
5.283899784;-17.575000763;8.697699547;1
5.964499950;-16.287500381;8.877900124;1
5.033199787;-16.860000610;7.660799980;1
4.900499821;-16.784799576;7.587999821;1
5.638599873;-16.986999512;8.527000427;1
5.621799946;-17.427799225;8.440400124;1
5.142700195;-17.346700668;8.034299850;1
5.905000210;-16.804199219;9.560099602;1
6.414500237;-16.481899261;9.611900330;1
5.911600113;-16.677600861;9.143300056;1
5.128699780;-17.420799255;8.534000397;1
6.028600216;-15.602199554;8.692099571;1
4.621099949;-17.009300232;7.888299942;1
5.419300079;-16.387500763;8.226300240;1
5.334899902;-16.675100327;7.938099861;1
5.798099995;-17.139299393;8.756699562;1
5.546100140;-16.510200500;7.983500004;1
5.249400139;-16.586500168;8.358799934;1
5.124700069;-16.644100189;8.211799622;1
5.059500217;-16.951599121;7.977499962;1
5.869200230;-17.001499176;9.300100327;1
5.018400192;-16.747200012;8.203100204;1
5.325600147;-16.351299286;8.157199860;1
5.181000233;-16.369499207;8.112099648;1
4.666500092;-17.168699265;7.887199879;1
5.819200039;-16.615299225;8.367300034;1
6.371600151;-16.513299942;9.362999916;1
5.707300186;-17.037399292;8.417300224;1
6.213500023;-16.556200027;9.764100075;1
5.237299919;-17.109300613;8.322600365;1
5.129099846;-16.748500824;8.483799934;1
5.381400108;-17.714700699;9.392200470;1
5.171400070;-16.904899597;8.737099648;1
5.079699993;-17.020299911;8.168999672;1
5.432099819;-16.946100235;8.202300072;1
5.274700165;-15.731800079;7.851900101;1
4.540100098;-17.108100891;7.683700085;1
4.883600235;-16.945299149;7.601799965;1
4.890299797;-17.537099838;7.932400227;1
5.845099926;-16.951400757;8.113300323;1
5.330900192;-17.180200577;8.308600426;1
6.002299786;-16.642999649;8.830200195;1
5.432300091;-15.716699600;7.895500183;1
5.854499817;-16.424499512;8.961400032;1
6.148499966;-15.746199608;7.797299862;1
6.145999908;-16.863300323;9.680999756;1
5.841300011;-17.040500641;7.807499886;1
6.132299900;-16.849599838;9.276399612;1
5.457099915;-16.906900406;7.843400002;1
5.372499943;-17.597299576;8.161800385;1
5.579299927;-16.998500824;8.143099785;1
6.478799820;-16.485500336;9.716899872;1
4.722899914;-17.270500183;7.736299992;1
6.154799938;-16.511699677;9.408900261;1
5.275599957;-17.761199951;9.329099655;1
6.589200020;-16.518400192;9.635399818;1
5.620800018;-15.505800247;7.994900227;1
5.644599915;-17.196699142;8.194299698;1
6.120800018;-15.617199898;8.634699821;1
5.841700077;-16.329599380;8.880499840;1
5.455299854;-16.468000412;7.884500027;1
5.723400116;-16.668899536;8.554800034;1
5.056000233;-16.712499619;7.602399826;1
6.675399780;-16.374399185;9.475799561;1
5.620800018;-16.879899979;8.425600052;1
5.253099918;-16.824699402;8.243499756;1
5.953899860;-16.292400360;8.713000298;1
5.512300014;-15.364100456;7.875400066;1
5.575699806;-15.561300278;7.806499958;1
5.816500187;-16.413700104;8.259200096;1
6.096499920;-16.769199371;8.384099960;1
5.477300167;-15.540599823;7.885300159;1
6.079800129;-16.276800156;8.771599770;1
4.931099892;-16.882499695;7.678299904;1
5.382199764;-17.179599762;8.488200188;1
5.071300030;-16.902200699;8.286899567;1
5.145199776;-16.796600342;8.595000267;1
6.083499908;-16.580299377;9.792400360;1
5.244900227;-16.851200104;7.819600105;1
5.929699898;-16.917900085;9.668100357;1
4.896399975;-17.249700546;7.597400188;1
6.206099987;-16.479999542;9.550299644;1
5.375100136;-17.245800018;8.902899742;1
6.297599792;-16.898000717;9.477100372;1
5.540800095;-16.325000763;8.400500298;1
6.348199844;-16.503400803;9.521200180;1
5.858799934;-16.916200638;8.584300041;1
6.466100216;-16.933700562;8.852199554;1
5.136400223;-17.837699890;7.619599819;1
5.566800117;-17.361099243;8.390000343;1
6.033500195;-17.050399780;8.117500305;1
6.083300114;-16.932899475;8.414699554;1
5.215300083;-16.736499786;8.123200417;1
5.902100086;-17.106899261;7.857699871;1
5.533299923;-15.859900475;7.780000210;1
5.206500053;-17.623199463;8.575599670;1
5.843800068;-16.539600372;8.500900269;1
4.633200169;-16.964700699;7.796199799;1
5.969500065;-16.346700668;9.058199883;1
5.437900066;-15.768099785;7.717599869;1
4.640999794;-16.977100372;7.620399952;1
5.619800091;-16.805799484;8.222700119;1
5.508999825;-16.567800522;8.301199913;1
5.239699841;-15.637700081;7.797699928;1
5.242899895;-16.595800400;8.072500229;1
5.107399940;-16.538600922;8.052300453;1
