//X;Y;Z;Illuminance (PCV)
-4.361999989;6.017000198;4.030600071;1
-4.292900085;5.985799789;4.361700058;1
-3.235300064;2.565900087;4.671199799;1
-4.273700237;4.881199837;6.758600235;1
-3.872200012;7.064799786;2.763200045;1
-0.300999999;0.363000005;2.782000065;1
-3.588099957;3.064599991;4.120900154;1
-2.650899887;2.682800055;3.974999905;1
-3.206300020;2.738600016;4.624800205;1
-2.070499897;1.983700037;4.624700069;1
-1.584100008;4.242499828;2.819499969;1
-3.076800108;5.863699913;3.413399935;1
-3.641499996;5.662300110;3.310899973;1
-1.255100012;2.198600054;4.721600056;1
-3.816900015;5.742899895;3.210999966;1
-2.321700096;2.677500010;3.793699980;1
-3.378999949;2.810800076;4.060299873;1
-3.648400068;3.149800062;4.127600193;1
-3.622400045;6.342899799;4.156799793;1
-2.838299990;2.290199995;3.819299936;1
-3.303800106;2.054699898;7.586299896;1
-3.792000055;5.077499866;4.389500141;1
-2.680799961;2.303400040;4.001599789;1
-2.917799950;4.763999939;4.835100174;1
-2.037600040;1.519999981;4.595499992;1
-3.236399889;2.653300047;4.721600056;1
-3.434799910;2.753499985;3.703399897;1
-0.588000000;-0.248999998;2.862999916;1
-2.998100042;2.321099997;3.718100071;1
-4.464600086;1.789899945;5.659699917;1
-3.581899881;3.110399961;3.480000019;1
-3.623699903;2.622499943;3.960700035;1
-4.401000023;4.239999771;7.265399933;1
-3.127599955;2.633399963;4.708399773;1
-3.133599997;2.595200062;4.570000172;1
-2.889800072;2.862799883;3.467299938;1
-3.721999884;5.651000023;4.109000206;1
-3.727999926;2.812799931;4.056000233;1
-1.519899964;5.797100067;4.288099766;1
-2.831399918;6.189899921;3.260499954;1
-0.448799998;0.808499992;3.030699968;1
-0.400000006;-0.819000006;3.038000107;1
-2.191600084;1.968899965;4.696400166;1
-3.116300106;2.834500074;4.627600193;1
-2.595999956;2.476000071;3.859999895;1
-2.436000109;1.070000052;5.434999943;1
-1.683200002;2.090500116;7.928599834;1
-0.294000000;-0.345999986;3.128999949;1
-3.943900108;5.769499779;4.223499775;1
-2.974299908;2.651099920;3.727200031;1
-3.539499998;3.055000067;4.263199806;1
-0.480100006;0.739199996;3.347500086;1
-1.297299981;3.103899956;4.606699944;1
-2.704499960;2.787699938;4.276199818;1
-2.882200003;2.323899984;3.728199959;1
1.176800013;3.517600060;5.472300053;1
-3.330899954;2.782900095;3.719300032;1
-2.709899902;4.311500072;4.210899830;1
-3.096400023;2.674000025;3.685100079;1
0.850499988;2.513600111;4.939199924;1
-2.098400116;2.127799988;4.712600231;1
-2.439599991;1.767799973;4.353799820;1
0.002000000;0.104999997;2.842000008;1
1.187999964;3.624000072;5.363999844;1
-4.419799805;6.246699810;2.604199886;1
-3.848000050;2.630000114;4.190000057;1
-0.257999986;4.208000183;8.994000435;1
-0.551699996;5.134699821;2.852999926;1
-2.631900072;2.796799898;3.865999937;1
-3.806200027;5.454800129;3.425800085;1
-3.980999947;5.460999966;4.227000237;1
-3.680599928;2.146899939;4.457499981;1
-1.345800042;4.675899982;5.600599766;1
-3.863399982;4.753300190;3.769299984;1
-3.057199955;2.707799911;4.581600189;1
-3.829799891;5.617300034;3.235500097;1
-2.823999882;3.275300026;4.662300110;1
-4.063499928;5.425499916;3.651400089;1
-0.291399986;1.394099951;2.784100056;1
-1.738399982;5.791999817;3.136399984;1
-2.500499964;2.483900070;3.724100113;1
-4.539599895;2.071500063;5.729199886;1
-0.703000009;-0.460999995;2.994999886;1
0.675000012;1.633999944;3.102999926;1
-1.621000051;4.864999771;3.009000063;1
-4.267700195;4.930799961;6.670300007;1
-3.821599960;2.617599964;4.065700054;1
-1.060999990;3.025000095;4.703999996;1
0.534900010;1.592499971;3.114399910;1
-3.769099951;4.849899769;3.812000036;1
-2.469700098;2.166599989;5.052000046;1
-2.566499949;2.349999905;3.536700010;1
-3.782900095;7.178599834;2.930399895;1
-3.697400093;3.052900076;3.560699940;1
-1.094699979;3.537800074;6.194399834;1
-3.027699947;2.731699944;3.622100115;1
-2.002399921;1.296000004;4.568399906;1
-3.398000002;5.010399818;5.015999794;1
-2.611000061;0.908999979;5.507999897;1
-2.827399969;2.241199970;3.435199976;1
-3.186500072;2.245800018;4.822199821;1
-3.591000080;0.815999985;4.021999836;1
