//X;Y;Z;R;G;B;Illuminance (PCV);Nx;Ny;Nz
-36.737617493;16.367275238;9.717333794;255;255;255;1;0.000978;0.999999;0.000978
-35.761474609;16.592617035;13.602989197;255;255;255;1;0.000978;0.999999;0.000978
-34.961933136;16.995780945;9.934791565;255;255;255;1;0.000000;0.000000;0.000000
-35.149745941;18.564929962;11.736416817;255;255;255;1;0.000000;0.000000;0.000000
-35.665100098;20.267639160;15.743348122;255;255;255;1;0.707106;0.707106;0.001384
-39.230804443;18.337312698;9.917754173;255;255;255;1;0.000000;0.000000;0.000000
-23.282966614;17.144897461;15.334191322;255;255;255;1;0.707106;0.707106;0.001384
-23.219011307;17.670927048;13.873296738;255;255;255;1;0.999999;0.000978;0.000978
-28.094621658;13.105244637;8.978380203;255;255;255;1;0.000978;0.999999;0.000978
-24.908227921;17.336612701;14.706831932;255;255;255;1;0.999999;0.000978;0.000978
-26.270250320;22.391376495;16.035139084;255;255;255;1;0.000000;0.000000;0.000000
-33.471279144;19.372695923;16.168628693;255;255;255;1;0.999999;0.000978;0.000978
-36.501667023;19.606552124;12.995521545;255;255;255;1;0.000000;0.000000;0.000000
-33.167331696;23.045032501;14.130075455;255;255;255;1;0.000978;0.999999;0.000978
-27.856922150;18.407403946;10.103943825;255;255;255;1;0.999999;0.000978;0.000978
-28.261653900;18.902637482;17.830614090;255;255;255;1;0.999999;0.000978;0.000978
-25.921283722;19.510238647;12.997916222;255;255;255;1;0.000000;0.000000;0.000000
-30.358032227;16.492099762;16.064296722;255;255;255;1;0.999999;0.000978;0.000978
-29.413314819;15.900156021;13.772505760;255;255;255;1;0.000000;0.000000;0.000000
-29.972970963;24.138521194;10.557461739;255;255;255;1;0.999999;0.000978;0.000978
-33.132194519;14.730229378;12.983263969;255;255;255;1;0.000978;0.999999;0.000978
-26.214733124;18.288780212;14.993612289;255;255;255;1;0.999999;0.000978;0.000978
-34.874336243;19.122714996;11.711330414;255;255;255;1;0.000000;0.000000;0.000000
-32.791576385;19.901929855;16.046588898;255;255;255;1;0.000000;0.000000;0.000000
-29.791873932;23.114131927;10.134029388;255;255;255;1;0.000000;0.000000;0.000000
-30.957513809;20.808250427;9.709153175;255;255;255;1;0.999999;0.000978;0.000978
