branch_ID;branch_order;segment_ID;parent_segment_ID;growth_volume;growth_length;detection;improvement;startX;startY;startZ;endX;endY;endZ;radius;length;species;ID;length_to_leave; inverse_branch_order; length_of_segment;branch_order_cum
-1;0;0;-1;0.266652;70.0591;taper;RANSAC;-3.72902;-8.8225;0.0986556;-3.8028;-8.82978;0.304226;0.153399;0.218529;unknown;10-02 sr2 tr-kh1 xs1 trunk.asc;9.85581;4;1.37292;140
-1;0;0;-1;0.250497;69.8406;spherefollowing;RANSAC;-3.79292;-8.82777;0.308859;-3.91072;-8.83807;0.527526;0.148781;0.248591;unknown;10-02 sr2 tr-kh1 xs1 trunk.asc;9.61475;4;1.37292;140
-1;0;0;-1;0.23321;69.592;spherefollowing;RANSAC;-3.92181;-8.83422;0.524033;-3.98959;-8.84748;0.717232;0.148781;0.205176;unknown;10-02 sr2 tr-kh1 xs1 trunk.asc;9.38724;4;1.37292;140
-1;0;0;-1;0.218942;69.3868;taper;RANSAC;-3.97916;-8.84908;0.722816;-4.04992;-8.89433;0.891076;0.146354;0.188055;unknown;10-02 sr2 tr-kh1 xs1 trunk.asc;9.19262;4;1.37292;140
-1;0;0;-1;0.206287;69.1988;taper;RANSAC;-4.06293;-8.89588;0.89269;-4.06513;-8.89353;1.15017;0.146354;0.257496;unknown;10-02 sr2 tr-kh1 xs1 trunk.asc;8.98067;4;1.37292;140
-1;0;0;-1;0.18896;68.9413;spherefollowing;RANSAC;-4.05871;-8.88401;1.15251;-3.97179;-8.88477;1.39232;0.103021;0.255073;unknown;10-02 sr2 tr-kh1 xs1 trunk.asc;8.72754;4;1.37292;140
-1;0;1;0;0.0861608;33.0543;spherefollowing;RANSAC;-3.97179;-8.88477;1.39232;-3.91618;-8.88536;1.50255;0.082204;0.123469;unknown;10-02 sr2 tr-kh1 xs1 trunk.asc;8.53438;3;0.641873;68
-1;0;1;0;0.0835396;32.9309;spherefollowing;RANSAC;-3.91446;-8.88708;1.50222;-3.88447;-8.89356;1.64248;0.0757834;0.143569;unknown;10-02 sr2 tr-kh1 xs1 trunk.asc;8.40156;3;0.641873;68
-1;0;1;0;0.0809493;32.7873;spherefollowing;RANSAC;-3.88186;-8.89125;1.64193;-3.86615;-8.88854;1.76741;0.0746753;0.126485;unknown;10-02 sr2 tr-kh1 xs1 trunk.asc;8.26739;3;0.641873;68
-1;0;1;0;0.0787334;32.6608;spherefollowing;RANSAC;-3.86688;-8.88568;1.7677;-3.85801;-8.89946;1.89086;0.0724654;0.124247;unknown;10-02 sr2 tr-kh1 xs1 trunk.asc;8.14276;3;0.641873;68
-1;0;1;0;0.0766837;32.5366;taper;RANSAC;-3.85999;-8.90117;1.89156;-3.84067;-8.92586;2.01164;0.0724654;0.124102;unknown;10-02 sr2 tr-kh1 xs1 trunk.asc;8.01745;3;0.641873;68
-1;0;2;1;0.0740765;32.2781;taper;RANSAC;-3.84067;-8.92586;2.01164;-3.79658;-8.94734;2.09236;0.0699647;0.0944465;unknown;10-02 sr2 tr-kh1 xs1 trunk.asc;7.907;3;0.96862;66
-1;0;2;1;0.0726241;32.1836;spherefollowing;RANSAC;-3.79612;-8.94604;2.09255;-3.77428;-8.95407;2.181;0.0684139;0.091459;unknown;10-02 sr2 tr-kh1 xs1 trunk.asc;7.81436;3;0.96862;66
-1;0;2;1;0.0712793;32.0922;spherefollowing;RANSAC;-3.77745;-8.95481;2.1821;-3.7399;-8.97436;2.29115;0.0696464;0.116978;unknown;10-02 sr2 tr-kh1 xs1 trunk.asc;7.70966;3;0.96862;66
-1;0;2;1;0.0694967;31.9752;spherefollowing;RANSAC;-3.73751;-8.97559;2.2904;-3.6994;-8.98709;2.39029;0.0693665;0.107534;unknown;10-02 sr2 tr-kh1 xs1 trunk.asc;7.59674;3;0.96862;66
-1;0;2;1;0.0678712;31.8677;spherefollowing;RANSAC;-3.69949;-8.98642;2.38994;-3.66635;-8.99662;2.50149;0.0696464;0.116818;unknown;10-02 sr2 tr-kh1 xs1 trunk.asc;7.48489;3;0.96862;66
-1;0;2;1;0.066091;31.7508;spherefollowing;RANSAC;-3.6659;-8.99364;2.50095;-3.64241;-9.00145;2.61823;0.0690045;0.119864;unknown;10-02 sr2 tr-kh1 xs1 trunk.asc;7.36708;3;0.96862;66
-1;0;2;1;0.064298;31.631;spherefollowing;RANSAC;-3.64105;-9.0011;2.61883;-3.61016;-8.99581;2.72163;0.0696777;0.107469;unknown;10-02 sr2 tr-kh1 xs1 trunk.asc;7.25289;3;0.96862;66
-1;0;2;1;0.0626588;31.5235;spherefollowing;RANSAC;-3.60934;-8.99722;2.72091;-3.59803;-9.00117;2.81492;0.0690045;0.0947641;unknown;10-02 sr2 tr-kh1 xs1 trunk.asc;7.15318;3;0.96862;66
-1;0;2;1;0.0612412;31.4287;spherefollowing;RANSAC;-3.60175;-9.00272;2.81439;-3.59936;-9.00617;2.9336;0.0686833;0.119288;unknown;10-02 sr2 tr-kh1 xs1 trunk.asc;7.0464;3;0.96862;66
-1;0;3;2;0.05903;30.2657;spherefollowing;RANSAC;-3.59936;-9.00617;2.9336;-3.60293;-8.99051;3.06023;0.068388;0.127648;unknown;10-02 sr2 tr-kh1 xs1 trunk.asc;6.92217;3;0.423874;64
-1;0;3;2;0.0571545;30.1381;spherefollowing;RANSAC;-3.61028;-8.99584;3.06362;-3.58094;-8.97653;3.16486;0.0686833;0.107158;unknown;10-02 sr2 tr-kh1 xs1 trunk.asc;6.8048;3;0.423874;64
-1;0;3;2;0.0555664;30.0309;spherefollowing;RANSAC;-3.57455;-8.97617;3.16436;-3.55334;-8.97987;3.25492;0.068388;0.0930871;unknown;10-02 sr2 tr-kh1 xs1 trunk.asc;6.70569;3;0.423874;64
-1;0;3;2;0.0541986;29.9378;spherefollowing;RANSAC;-3.55823;-8.98105;3.2566;-3.53462;-8.98278;3.34961;0.0693399;0.0959814;unknown;10-02 sr2 tr-kh1 xs1 trunk.asc;6.61044;3;0.423874;64
-1;0;4;3;0.0526313;29.5448;spherefollowing;RANSAC;-3.53462;-8.98278;3.34961;-3.50612;-8.98295;3.43568;0.0722843;0.0906628;unknown;10-02 sr2 tr-kh1 xs1 trunk.asc;6.51688;3;0.554651;62
-1;0;4;3;0.0511431;29.4541;spherefollowing;RANSAC;-3.50338;-8.98355;3.43522;-3.47489;-8.97993;3.52584;0.0631515;0.0950568;unknown;10-02 sr2 tr-kh1 xs1 trunk.asc;6.42367;3;0.554651;62
-1;0;4;3;0.0499521;29.3591;spherefollowing;RANSAC;-3.47591;-8.97852;3.52691;-3.44075;-8.96882;3.6089;0.069557;0.0897335;unknown;10-02 sr2 tr-kh1 xs1 trunk.asc;6.33082;3;0.554651;62
-1;0;4;3;0.0485882;29.2693;spherefollowing;RANSAC;-3.43856;-8.96757;3.6081;-3.40636;-8.96238;3.69423;0.0608319;0.0921019;unknown;10-02 sr2 tr-kh1 xs1 trunk.asc;6.23995;3;0.554651;62
-1;0;4;3;0.0475174;29.1772;spherefollowing;RANSAC;-3.40852;-8.96324;3.69474;-3.3777;-8.95539;3.78279;0.0701506;0.0936145;unknown;10-02 sr2 tr-kh1 xs1 trunk.asc;6.14774;3;0.554651;62
-1;0;4;3;0.0460702;29.0836;spherefollowing;RANSAC;-3.37677;-8.9583;3.78358;-3.34329;-8.93377;3.86734;0.064688;0.0934818;unknown;10-02 sr2 tr-kh1 xs1 trunk.asc;6.05431;3;0.554651;62
-1;0;5;4;0.0443165;28.7609;spherefollowing;RANSAC;-3.34329;-8.93377;3.86734;-3.29677;-8.92479;3.96728;0.0655321;0.110602;unknown;10-02 sr2 tr-kh1 xs1 trunk.asc;5.95197;3;0.240212;60
-1;0;5;4;0.0428243;28.6503;spherefollowing;RANSAC;-3.29368;-8.92196;3.96515;-3.26161;-8.90296;4.08929;0.0580327;0.12961;unknown;10-02 sr2 tr-kh1 xs1 trunk.asc;5.83252;3;0.240212;60
-1;0;6;5;0.0381397;24.8331;spherefollowing;RANSAC;-3.26161;-8.90296;4.08929;-3.23065;-8.89019;4.16929;0.0488098;0.0867288;unknown;10-02 sr2 tr-kh1 xs1 trunk.asc;5.72347;3;0.768305;52
-1;0;6;5;0.0374906;24.7463;spherefollowing;RANSAC;-3.23148;-8.88985;4.16988;-3.1946;-8.88887;4.24113;0.0501849;0.080235;unknown;10-02 sr2 tr-kh1 xs1 trunk.asc;5.63937;3;0.768305;52
-1;0;6;5;0.0368557;24.6661;spherefollowing;NO;-3.1886;-8.88809;4.23908;-3.16036;-8.89274;4.31901;0.0423789;0.084899;unknown;10-02 sr2 tr-kh1 xs1 trunk.asc;5.55703;3;0.768305;52
-1;0;6;5;0.0363767;24.5812;spherefollowing;NO;-3.16036;-8.89274;4.31901;-3.13553;-8.88551;4.40355;0.0387932;0.0884132;unknown;10-02 sr2 tr-kh1 xs1 trunk.asc;5.47104;3;0.768305;52
-1;0;6;5;0.0359587;24.4928;spherefollowing;NO;-3.13553;-8.88551;4.40355;-3.12756;-8.87918;4.48214;0.040915;0.0792382;unknown;10-02 sr2 tr-kh1 xs1 trunk.asc;5.38802;3;0.768305;52
-1;0;6;5;0.035542;24.4135;spherefollowing;RANSAC;-3.13275;-8.87782;4.48306;-3.12151;-8.86995;4.56481;0.0460801;0.0828865;unknown;10-02 sr2 tr-kh1 xs1 trunk.asc;5.30728;3;0.768305;52
-1;0;6;5;0.0349891;24.3307;spherefollowing;RANSAC;-3.12249;-8.87434;4.56498;-3.12173;-8.86985;4.64063;0.0547145;0.0757877;unknown;10-02 sr2 tr-kh1 xs1 trunk.asc;5.22872;3;0.768305;52
-1;0;6;5;0.0342763;24.2549;spherefollowing;RANSAC;-3.12403;-8.87335;4.64169;-3.11035;-8.84658;4.74187;0.0588955;0.104596;unknown;10-02 sr2 tr-kh1 xs1 trunk.asc;5.13892;3;0.768305;52
-1;0;6;5;0.0331365;24.1503;spherefollowing;RANSAC;-3.10671;-8.84325;4.7414;-3.08651;-8.83369;4.82395;0.0588955;0.0855208;unknown;10-02 sr2 tr-kh1 xs1 trunk.asc;5.04239;3;0.768305;52
-1;0;7;6;0.0319527;23.9034;taper;RANSAC;-3.08651;-8.83369;4.82395;-3.09087;-8.84526;4.92348;0.0588955;0.100296;unknown;10-02 sr2 tr-kh1 xs1 trunk.asc;4.94836;3;0.31562;50
-1;0;7;6;0.0308597;23.8031;spherefollowing;RANSAC;-3.09132;-8.84786;4.92277;-3.0662;-8.85064;5.02461;0.0588955;0.104929;unknown;10-02 sr2 tr-kh1 xs1 trunk.asc;4.84818;3;0.31562;50
-1;0;7;6;0.0297163;23.6982;spherefollowing;RANSAC;-3.05961;-8.84813;5.02502;-3.00921;-8.86131;5.12235;0.0508407;0.110394;unknown;10-02 sr2 tr-kh1 xs1 trunk.asc;4.73944;3;0.31562;50
-1;0;8;7;0.0146105;13.4597;taper;RANSAC;-3.00921;-8.86131;5.12235;-2.97776;-8.87162;5.18065;0.0403445;0.0670371;unknown;10-02 sr2 tr-kh1 xs1 trunk.asc;4.64969;2;0.590829;29
-1;0;8;7;0.0142677;13.3927;spherefollowing;RANSAC;-2.97842;-8.87272;5.18061;-2.9543;-8.87794;5.24369;0.0436032;0.0677368;unknown;10-02 sr2 tr-kh1 xs1 trunk.asc;4.58232;2;0.590829;29
-1;0;8;7;0.0138631;13.3249;spherefollowing;RANSAC;-2.95412;-8.87716;5.2438;-2.93291;-8.88262;5.30154;0.0428348;0.0617507;unknown;10-02 sr2 tr-kh1 xs1 trunk.asc;4.51725;2;0.590829;29
-1;0;8;7;0.0135072;13.2632;spherefollowing;RANSAC;-2.93436;-8.88431;5.30142;-2.90436;-8.89094;5.3707;0.045284;0.0757849;unknown;10-02 sr2 tr-kh1 xs1 trunk.asc;4.44876;2;0.590829;29
-1;0;8;7;0.0130189;13.1874;spherefollowing;RANSAC;-2.89977;-8.89182;5.36991;-2.87485;-8.88969;5.44187;0.0413237;0.0761816;unknown;10-02 sr2 tr-kh1 xs1 trunk.asc;4.37169;2;0.590829;29
-1;0;8;7;0.0126102;13.1112;spherefollowing;RANSAC;-2.88029;-8.89111;5.44531;-2.83896;-8.87785;5.51106;0.0429982;0.0787832;unknown;10-02 sr2 tr-kh1 xs1 trunk.asc;4.29401;2;0.590829;29
-1;0;8;7;0.0121526;13.0324;spherefollowing;RANSAC;-2.83398;-8.87662;5.50785;-2.81065;-8.879;5.58449;0.0413237;0.080147;unknown;10-02 sr2 tr-kh1 xs1 trunk.asc;4.21723;2;0.590829;29
-1;0;8;7;0.0117227;12.9523;spherefollowing;RANSAC;-2.81515;-8.87717;5.58618;-2.79161;-8.87969;5.66616;0.0429982;0.0834079;unknown;10-02 sr2 tr-kh1 xs1 trunk.asc;4.13465;2;0.590829;29
-1;0;9;8;0.0110391;12.6143;spherefollowing;RANSAC;-2.79161;-8.87969;5.66616;-2.74868;-8.87367;5.72617;0.0429982;0.0740307;unknown;10-02 sr2 tr-kh1 xs1 trunk.asc;4.05521;2;1.07491;27
-1;0;9;8;0.0106091;12.5403;spherefollowing;RANSAC;-2.75138;-8.87236;5.72523;-2.74604;-8.87557;5.79921;0.0399146;0.0742423;unknown;10-02 sr2 tr-kh1 xs1 trunk.asc;3.98605;2;1.07491;27
-1;0;9;8;0.0102376;12.466;spherefollowing;RANSAC;-2.74697;-8.87915;5.80023;-2.72677;-8.87625;5.87233;0.0441063;0.0749296;unknown;10-02 sr2 tr-kh1 xs1 trunk.asc;3.91158;2;1.07491;27
-1;0;9;8;0.00977963;12.3911;spherefollowing;RANSAC;-2.72451;-8.87391;5.8714;-2.70205;-8.86687;5.94059;0.0421469;0.0730855;unknown;10-02 sr2 tr-kh1 xs1 trunk.asc;3.83703;2;1.07491;27
-1;0;9;8;0.00937176;12.318;taper;RANSAC;-2.69775;-8.86642;5.93972;-2.69045;-8.87527;6.0138;0.0441063;0.0749673;unknown;10-02 sr2 tr-kh1 xs1 trunk.asc;3.76292;2;1.07491;27
-1;0;9;8;0.0089136;12.243;spherefollowing;RANSAC;-2.69477;-8.8747;6.0151;-2.6734;-8.87896;6.09575;0.0448808;0.0835391;unknown;10-02 sr2 tr-kh1 xs1 trunk.asc;3.68345;2;1.07491;27
-1;0;9;8;0.00838496;12.1595;spherefollowing;RANSAC;-2.67011;-8.87812;6.09412;-2.6587;-8.87784;6.1695;0.0448808;0.0762376;unknown;10-02 sr2 tr-kh1 xs1 trunk.asc;3.60355;2;1.07491;27
-1;0;9;8;0.00790252;12.0833;spherefollowing;RANSAC;-2.65763;-8.87869;6.17054;-2.63945;-8.88815;6.23513;0.0475335;0.0677588;unknown;10-02 sr2 tr-kh1 xs1 trunk.asc;3.52983;2;1.07491;27
-1;0;9;8;0.00742155;12.0155;spherefollowing;RANSAC;-2.63824;-8.88888;6.23491;-2.61338;-8.89703;6.30064;0.0422674;0.0707516;unknown;10-02 sr2 tr-kh1 xs1 trunk.asc;3.46051;2;1.07491;27
-1;0;9;8;0.00702445;11.9447;spherefollowing;RANSAC;-2.61021;-8.89557;6.30022;-2.59571;-8.89637;6.36827;0.039609;0.069586;unknown;10-02 sr2 tr-kh1 xs1 trunk.asc;3.38988;2;1.07491;27
-1;0;9;8;0.00668148;11.8752;spherefollowing;RANSAC;-2.59772;-8.89655;6.36855;-2.58658;-8.89578;6.43321;0.039609;0.0656092;unknown;10-02 sr2 tr-kh1 xs1 trunk.asc;3.32174;2;1.07491;27
-1;0;9;8;0.00635811;11.8095;spherefollowing;RANSAC;-2.58595;-8.89517;6.43394;-2.56533;-8.89073;6.49871;0.0374046;0.0681241;unknown;10-02 sr2 tr-kh1 xs1 trunk.asc;3.2535;2;1.07491;27
-1;0;9;8;0.00605868;11.7414;spherefollowing;RANSAC;-2.56543;-8.89256;6.4983;-2.55754;-8.90008;6.56774;0.0364649;0.0702873;unknown;10-02 sr2 tr-kh1 xs1 trunk.asc;3.18485;2;1.07491;27
-1;0;9;8;0.00576506;11.6711;taper;RANSAC;-2.55979;-8.90087;6.56812;-2.54952;-8.90083;6.63046;0.0389902;0.063185;unknown;10-02 sr2 tr-kh1 xs1 trunk.asc;3.11864;2;1.07491;27
-1;0;9;8;0.00546329;11.608;taper;RANSAC;-2.54893;-8.89904;6.63029;-2.53687;-8.88256;6.69576;0.0389902;0.0685788;unknown;10-02 sr2 tr-kh1 xs1 trunk.asc;3.05242;2;1.07491;27
-1;0;10;9;0.0050102;10.9777;taper;RANSAC;-2.53687;-8.88256;6.69576;-2.52426;-8.8886;6.76949;0.0389902;0.0750408;unknown;10-02 sr2 tr-kh1 xs1 trunk.asc;2.97989;2;0.144967;25
-1;0;10;9;0.00465181;10.9026;taper;RANSAC;-2.51906;-8.88815;6.76833;-2.49983;-8.87113;6.83337;0.0400877;0.0699259;unknown;10-02 sr2 tr-kh1 xs1 trunk.asc;2.90804;2;0.144967;25
-1;0;11;10;0.00391546;9.78688;spherefollowing;RANSAC;-2.49983;-8.87113;6.83337;-2.49739;-8.86704;6.92095;0.0267467;0.0877158;unknown;10-02 sr2 tr-kh1 xs1 trunk.asc;2.82318;2;0.496415;21
