branch_ID;branch_order;segment_ID;parent_segment_ID;growth_volume;growth_length;detection;improvement;startX;startY;startZ;endX;endY;endZ;radius;length;species;ID;length_to_leave; inverse_branch_order; length_of_segment;branch_order_cum
-1;0;0;-1;6.13461;721.446;spherefollowing;NO;5.23381;1.44286;-0.6433;5.24149;1.8137;-0.286947;0.385786;0.514363;unknown;16-02 s1 tr-km2 trunk.asc;31.2798;7;0.514363;1218
-1;0;1;0;5.87125;719.926;spherefollowing;RANSAC;5.24149;1.8137;-0.286947;5.27409;1.71266;0.558833;0.339777;0.852417;unknown;16-02 s1 tr-km2 trunk.asc;30.588;7;3.98783;1214
-1;0;1;0;5.56209;719.073;spherefollowing;RANSAC;5.28183;1.71993;0.557989;5.38572;1.68136;1.30177;0.355909;0.751993;unknown;16-02 s1 tr-km2 trunk.asc;29.7766;7;3.98783;1214
-1;0;1;0;5.26283;718.321;spherefollowing;RANSAC;5.39392;1.66225;1.29959;5.44469;1.61033;2.01289;0.325279;0.716988;unknown;16-02 s1 tr-km2 trunk.asc;29.041;7;3.98783;1214
-1;0;1;0;5.0245;717.604;taper;NO;5.46081;1.64207;2.01697;5.56522;1.63138;2.73795;0.268934;0.728579;unknown;16-02 s1 tr-km2 trunk.asc;28.3206;7;3.98783;1214
-1;0;1;0;4.85895;716.876;spherefollowing;NO;5.56522;1.63138;2.73795;5.69523;2.01569;3.58351;0.224012;0.937852;unknown;16-02 s1 tr-km2 trunk.asc;27.5096;7;3.98783;1214
-1;0;2;1;2.44137;340.675;spherefollowing;RANSAC;5.69523;2.01569;3.58351;5.77372;2.06742;4.04418;0.232544;0.470156;unknown;16-02 s1 tr-km2 trunk.asc;17.8304;4;0.470156;554
-1;0;3;2;2.35967;339.584;spherefollowing;RANSAC;5.77372;2.06742;4.04418;5.89473;2.26225;4.49656;0.225654;0.5072;unknown;16-02 s1 tr-km2 trunk.asc;17.3417;4;0.5072;552
-1;0;4;3;1.6598;291.008;spherefollowing;RANSAC;5.89473;2.26225;4.49656;5.9468;2.38017;4.81968;0.191391;0.347888;unknown;16-02 s1 tr-km2 trunk.asc;16.9131;4;2.11597;502
-1;0;4;3;1.61976;290.66;spherefollowing;RANSAC;5.94948;2.37555;4.82098;5.97156;2.46037;5.14425;0.209152;0.33494;unknown;16-02 s1 tr-km2 trunk.asc;16.5713;4;2.11597;502
-1;0;4;3;1.57373;290.325;spherefollowing;RANSAC;5.97343;2.45887;5.14238;6.03759;2.49706;5.46326;0.206918;0.329457;unknown;16-02 s1 tr-km2 trunk.asc;16.2432;4;2.11597;502
