branch_ID;branch_order;segment_ID;parent_segment_ID;growth_volume;growth_length;detection;improvement;startX;startY;startZ;endX;endY;endZ;radius;length;species;ID;length_to_leave; inverse_branch_order; length_of_segment;branch_order_cum
-1;0;0;-1;2.70151;696.691;spherefollowing;NO;-26.8264;41.2425;-0.7072;-26.8473;41.1909;-0.0965104;0.354826;0.613223;unknown;15-02 s1 tu-kh1 xs1 trunk.asc;24.9641;8;2.89112;1364
-1;0;0;-1;2.45896;696.078;spherefollowing;NO;-26.8473;41.1909;-0.0965104;-26.8251;41.1008;0.419206;0.317252;0.523994;unknown;15-02 s1 tu-kh1 xs1 trunk.asc;24.3929;8;2.89112;1364
-1;0;0;-1;2.29328;695.554;spherefollowing;NO;-26.8251;41.1008;0.419206;-26.8209;41.0762;0.873056;0.299044;0.454537;unknown;15-02 s1 tu-kh1 xs1 trunk.asc;23.9016;8;2.89112;1364
-1;0;0;-1;2.16558;695.099;spherefollowing;NO;-26.8209;41.0762;0.873056;-26.8072;41.0455;1.29547;0.290606;0.423752;unknown;15-02 s1 tu-kh1 xs1 trunk.asc;23.4623;8;2.89112;1364
-1;0;0;-1;2.05315;694.675;taper;NO;-26.8072;41.0455;1.29547;-26.8056;41.0093;1.67838;0.243061;0.384623;unknown;15-02 s1 tu-kh1 xs1 trunk.asc;23.0609;8;2.89112;1364
-1;0;0;-1;1.98177;694.291;taper;NO;-26.8056;41.0093;1.67838;-26.7745;40.8232;2.13168;0.23081;0.490989;unknown;15-02 s1 tu-kh1 xs1 trunk.asc;22.6283;8;2.89112;1364
-1;0;1;0;1.795;643.66;taper;NO;-26.7745;40.8232;2.13168;-26.7387;40.9403;2.51113;0.21861;0.39873;unknown;15-02 s1 tu-kh1 xs1 trunk.asc;22.1823;8;0.39873;1268
-1;0;2;1;1.67729;597.928;taper;NO;-26.7387;40.9403;2.51113;-26.7208;40.9078;2.88342;0.207597;0.374136;unknown;15-02 s1 tu-kh1 xs1 trunk.asc;21.7915;8;1.02311;1156
-1;0;2;1;1.62663;597.554;spherefollowing;NO;-26.7208;40.9078;2.88342;-26.3554;40.7733;3.40264;0.207597;0.648973;unknown;15-02 s1 tu-kh1 xs1 trunk.asc;21.2935;8;1.02311;1156
-1;0;3;2;0.927876;335.576;spherefollowing;NO;-26.3554;40.7733;3.40264;-26.3742;40.5869;3.67515;0.204842;0.330681;unknown;15-02 s1 tu-kh1 xs1 trunk.asc;20.7945;8;0.330681;625
-1;0;4;3;0.779705;267.35;taper;NO;-26.3742;40.5869;3.67515;-26.3824;40.5535;3.91136;0.175483;0.238707;unknown;15-02 s1 tu-kh1 xs1 trunk.asc;20.504;8;0.684505;476
-1;0;4;3;0.756612;267.112;taper;NO;-26.3824;40.5535;3.91136;-26.4131;40.1846;4.15987;0.168382;0.445799;unknown;15-02 s1 tu-kh1 xs1 trunk.asc;20.1813;8;0.684505;476
-1;0;5;4;0.350522;120.646;taper;NO;-26.3742;40.5869;3.67515;-26.2441;40.7216;4.30781;0.162574;0.659804;unknown;15-02 s1 tu-kh1 xs1 trunk.asc;15.7751;5;2.30735;199
-1;0;5;4;0.295736;119.986;taper;NO;-26.2441;40.7216;4.30781;-26.2233;40.7122;4.4593;0.158187;0.1532;unknown;15-02 s1 tu-kh1 xs1 trunk.asc;15.3568;5;2.30735;199
-1;0;5;4;0.283692;119.833;taper;NO;-26.2233;40.7122;4.4593;-26.212;40.6902;4.57992;0.1542;0.123144;unknown;15-02 s1 tu-kh1 xs1 trunk.asc;15.2201;5;2.30735;199
-1;0;5;4;0.274493;119.71;taper;NO;-26.212;40.6902;4.57992;-26.2049;40.7029;4.7196;0.150387;0.140436;unknown;15-02 s1 tu-kh1 xs1 trunk.asc;15.0894;5;2.30735;199
-1;0;5;4;0.264515;119.569;taper;NO;-26.2049;40.7029;4.7196;-26.1695;40.6859;4.87308;0.146092;0.158424;unknown;15-02 s1 tu-kh1 xs1 trunk.asc;14.9402;5;2.30735;199
-1;0;5;4;0.253893;119.411;taper;NO;-26.1695;40.6859;4.87308;-26.141;40.7136;5.0181;0.141718;0.150359;unknown;15-02 s1 tu-kh1 xs1 trunk.asc;14.7857;5;2.30735;199
-1;0;5;4;0.244406;119.261;taper;NO;-26.141;40.7136;5.0181;-26.1065;40.7335;5.1492;0.137673;0.137029;unknown;15-02 s1 tu-kh1 xs1 trunk.asc;14.6396;5;2.30735;199
-1;0;5;4;0.236247;119.124;spherefollowing;NO;-26.1065;40.7335;5.1492;-26.0603;40.7416;5.27116;0.108877;0.130651;unknown;15-02 s1 tu-kh1 xs1 trunk.asc;14.5045;5;2.30735;199
-1;0;5;4;0.231381;118.993;spherefollowing;NO;-26.0603;40.7416;5.27116;-26.0075;40.7596;5.39937;0.114984;0.139825;unknown;15-02 s1 tu-kh1 xs1 trunk.asc;14.3689;5;2.30735;199
-1;0;5;4;0.225573;118.853;spherefollowing;NO;-26.0075;40.7596;5.39937;-25.9447;40.7527;5.53885;0.115133;0.153116;unknown;15-02 s1 tu-kh1 xs1 trunk.asc;14.2273;5;2.30735;199
-1;0;5;4;0.219197;118.7;spherefollowing;NO;-25.9447;40.7527;5.53885;-25.9092;40.7762;5.67036;0.115133;0.138225;unknown;15-02 s1 tu-kh1 xs1 trunk.asc;14.0951;5;2.30735;199
-1;0;5;4;0.213441;118.562;taper;NO;-25.9092;40.7762;5.67036;-25.8224;40.9338;5.80229;0.118549;0.223143;unknown;15-02 s1 tu-kh1 xs1 trunk.asc;13.9241;5;2.30735;199
-1;0;6;5;0.0969495;39.3515;taper;NO;-25.8224;40.9338;5.80229;-25.9838;40.6077;5.8165;0.116408;0.364154;unknown;15-02 s1 tu-kh1 xs1 trunk.asc;13.6277;3;0.364154;73
-1;0;7;6;0.0810821;38.7356;taper;NO;-25.9838;40.6077;5.8165;-25.9733;40.5952;5.92068;0.114673;0.105459;unknown;15-02 s1 tu-kh1 xs1 trunk.asc;13.3908;3;3.10223;71
-1;0;7;6;0.0767254;38.6301;taper;NO;-25.9733;40.5952;5.92068;-25.9303;40.605;5.99779;0.112017;0.0887947;unknown;15-02 s1 tu-kh1 xs1 trunk.asc;13.2934;3;3.10223;71
-1;0;7;6;0.073225;38.5413;taper;NO;-25.9303;40.605;5.99779;-25.9018;40.6184;6.05315;0.110077;0.0636822;unknown;15-02 s1 tu-kh1 xs1 trunk.asc;13.2175;3;3.10223;71
-1;0;7;6;0.0708009;38.4777;taper;NO;-25.9018;40.6184;6.05315;-25.8853;40.6265;6.11944;0.108294;0.0687993;unknown;15-02 s1 tu-kh1 xs1 trunk.asc;13.1502;3;3.10223;71
-1;0;7;6;0.0682661;38.4089;taper;NO;-25.8853;40.6265;6.11944;-25.874;40.621;6.19562;0.106207;0.0772089;unknown;15-02 s1 tu-kh1 xs1 trunk.asc;13.0755;3;3.10223;71
-1;0;7;6;0.0655301;38.3316;taper;NO;-25.874;40.621;6.19562;-25.8823;40.5782;6.27464;0.103933;0.0902588;unknown;15-02 s1 tu-kh1 xs1 trunk.asc;12.9974;3;3.10223;71
-1;0;7;6;0.0624671;38.2414;taper;NO;-25.8823;40.5782;6.27464;-25.8907;40.5288;6.3476;0.101707;0.0884806;unknown;15-02 s1 tu-kh1 xs1 trunk.asc;12.9191;3;3.10223;71
-1;0;7;6;0.0595917;38.1529;taper;NO;-25.8907;40.5288;6.3476;-25.9031;40.5018;6.4102;0.0997208;0.0692954;unknown;15-02 s1 tu-kh1 xs1 trunk.asc;12.8474;3;3.10223;71
-1;0;7;6;0.0574268;38.0836;taper;NO;-25.9031;40.5018;6.4102;-25.8739;40.4933;6.48984;0.0976369;0.0852552;unknown;15-02 s1 tu-kh1 xs1 trunk.asc;12.7715;3;3.10223;71
-1;0;7;6;0.0548735;37.9984;taper;NO;-25.8739;40.4933;6.48984;-25.8508;40.4764;6.56411;0.0953819;0.0795953;unknown;15-02 s1 tu-kh1 xs1 trunk.asc;12.6871;3;3.10223;71
-1;0;7;6;0.0525986;37.9188;taper;NO;-25.8508;40.4764;6.56411;-25.8254;40.4638;6.63048;0.0933215;0.0721773;unknown;15-02 s1 tu-kh1 xs1 trunk.asc;12.6091;3;3.10223;71
-1;0;7;6;0.0506238;37.8466;taper;NO;-25.8254;40.4638;6.63048;-25.8002;40.4552;6.69896;0.091346;0.0734571;unknown;15-02 s1 tu-kh1 xs1 trunk.asc;12.5343;3;3.10223;71
-1;0;7;6;0.0486983;37.7731;taper;NO;-25.8002;40.4552;6.69896;-25.7769;40.444;6.76742;0.0893397;0.0731813;unknown;15-02 s1 tu-kh1 xs1 trunk.asc;12.4587;3;3.10223;71
-1;0;7;6;0.0468633;37.7;taper;NO;-25.7769;40.444;6.76742;-25.7658;40.4252;6.83417;0.0873588;0.0702414;unknown;15-02 s1 tu-kh1 xs1 trunk.asc;12.3848;3;3.10223;71
-1;0;7;6;0.0451792;37.6297;taper;NO;-25.7658;40.4252;6.83417;-25.7329;40.413;6.90635;0.0853234;0.0802782;unknown;15-02 s1 tu-kh1 xs1 trunk.asc;12.3078;3;3.10223;71
-1;0;7;6;0.0433431;37.5494;taper;NO;-25.7329;40.413;6.90635;-25.7122;40.3946;6.97813;0.0832142;0.0769179;unknown;15-02 s1 tu-kh1 xs1 trunk.asc;12.2269;3;3.10223;71
-1;0;7;6;0.0416698;37.4725;taper;NO;-25.7122;40.3946;6.97813;-25.6937;40.3769;7.04082;0.0812442;0.0677274;unknown;15-02 s1 tu-kh1 xs1 trunk.asc;12.1522;3;3.10223;71
-1;0;7;6;0.0402654;37.4048;taper;NO;-25.6937;40.3769;7.04082;-25.6748;40.3542;7.11144;0.0792911;0.0765497;unknown;15-02 s1 tu-kh1 xs1 trunk.asc;12.078;3;3.10223;71
-1;0;7;6;0.0387534;37.3282;taper;NO;-25.6748;40.3542;7.11144;-25.644;40.3379;7.18975;0.0771091;0.0857066;unknown;15-02 s1 tu-kh1 xs1 trunk.asc;11.9945;3;3.10223;71
-1;0;7;6;0.0371524;37.2425;taper;NO;-25.644;40.3379;7.18975;-25.6239;40.3193;7.25963;0.0749381;0.0750562;unknown;15-02 s1 tu-kh1 xs1 trunk.asc;11.9115;3;3.10223;71
-1;0;7;6;0.0358283;37.1675;taper;NO;-25.6239;40.3193;7.25963;-25.6036;40.3064;7.33329;0.0728352;0.0774844;unknown;15-02 s1 tu-kh1 xs1 trunk.asc;11.8327;3;3.10223;71
-1;0;7;6;0.0345369;37.09;spherefollowing;NO;-25.6036;40.3064;7.33329;-25.5814;40.2942;7.41299;0.0682393;0.083635;unknown;15-02 s1 tu-kh1 xs1 trunk.asc;11.7492;3;3.10223;71
-1;0;7;6;0.0333134;37.0064;taper;NO;-25.5814;40.2942;7.41299;-25.5458;40.2846;7.49363;0.0682393;0.0886399;unknown;15-02 s1 tu-kh1 xs1 trunk.asc;11.6602;3;3.10223;71
-1;0;7;6;0.0320167;36.9177;taper;NO;-25.5458;40.2846;7.49363;-25.528;40.3007;7.57494;0.0659572;0.0847875;unknown;15-02 s1 tu-kh1 xs1 trunk.asc;11.5732;3;3.10223;71
-1;0;7;6;0.0308579;36.8329;taper;RANSAC;-25.5363;40.3028;7.57803;-25.5331;40.3189;7.65483;0.0733274;0.0785435;unknown;15-02 s1 tu-kh1 xs1 trunk.asc;11.495;3;3.10223;71
-1;0;7;6;0.0295311;36.7544;spherefollowing;RANSAC;-25.5412;40.3174;7.66021;-25.4999;40.2845;7.7146;0.0659572;0.0757816;unknown;15-02 s1 tu-kh1 xs1 trunk.asc;11.4198;3;3.10223;71
-1;0;7;6;0.0284954;36.6786;spherefollowing;NO;-25.483;40.2844;7.71001;-25.4326;40.2673;7.77422;0.0659572;0.0833547;unknown;15-02 s1 tu-kh1 xs1 trunk.asc;11.3427;3;3.10223;71
-1;0;7;6;0.0273562;36.5952;spherefollowing;NO;-25.4326;40.2673;7.77422;-25.4236;40.2729;7.84655;0.0659572;0.0731084;unknown;15-02 s1 tu-kh1 xs1 trunk.asc;11.2657;3;3.10223;71
-1;0;7;6;0.026357;36.5221;spherefollowing;RANSAC;-25.435;40.2785;7.84845;-25.41;40.2588;7.91709;0.0659572;0.0756651;unknown;15-02 s1 tu-kh1 xs1 trunk.asc;11.1929;3;3.10223;71
-1;0;7;6;0.0253229;36.4465;spherefollowing;NO;-25.3937;40.2542;7.91512;-25.3581;40.2364;7.98327;0.0518749;0.0789114;unknown;15-02 s1 tu-kh1 xs1 trunk.asc;11.1097;3;3.10223;71
-1;0;7;6;0.0246558;36.3676;spherefollowing;NO;-25.3581;40.2364;7.98327;-25.3397;40.2199;8.05319;0.0482739;0.0741613;unknown;15-02 s1 tu-kh1 xs1 trunk.asc;11.0312;3;3.10223;71
-1;0;7;6;0.0241129;36.2934;spherefollowing;NO;-25.3397;40.2199;8.05319;-25.3283;40.2134;8.12356;0.0518749;0.0715916;unknown;15-02 s1 tu-kh1 xs1 trunk.asc;10.956;3;3.10223;71
-1;0;7;6;0.0235076;36.2218;spherefollowing;RANSAC;-25.3333;40.2097;8.12457;-25.3106;40.2168;8.20874;0.0480021;0.0874496;unknown;15-02 s1 tu-kh1 xs1 trunk.asc;10.875;3;3.10223;71
-1;0;7;6;0.0228746;36.1344;spherefollowing;NO;-25.305;40.2216;8.2076;-25.2768;40.2185;8.28176;0.0480021;0.0794065;unknown;15-02 s1 tu-kh1 xs1 trunk.asc;10.79;3;3.10223;71
-1;0;7;6;0.0222998;36.055;spherefollowing;NO;-25.2768;40.2185;8.28176;-25.2492;40.2135;8.35662;0.0461624;0.0799468;unknown;15-02 s1 tu-kh1 xs1 trunk.asc;10.708;3;3.10223;71
-1;0;7;6;0.0217646;35.975;spherefollowing;NO;-25.2492;40.2135;8.35662;-25.2258;40.2049;8.42962;0.0490102;0.0771361;unknown;15-02 s1 tu-kh1 xs1 trunk.asc;10.6271;3;3.10223;71
-1;0;7;6;0.0211825;35.8979;taper;NO;-25.2258;40.2049;8.42962;-25.2255;40.2167;8.52105;0.0490102;0.092197;unknown;15-02 s1 tu-kh1 xs1 trunk.asc;10.546;3;3.10223;71
-1;0;7;6;0.0204868;35.8057;taper;RANSAC;-25.2255;40.2167;8.52105;-25.186;40.2167;8.5804;0.0490102;0.0713401;unknown;15-02 s1 tu-kh1 xs1 trunk.asc;10.4764;3;3.10223;71
-1;0;7;6;0.0199484;35.7343;spherefollowing;NO;-25.186;40.2167;8.5804;-25.1572;40.1457;8.6461;0.0490102;0.100966;unknown;15-02 s1 tu-kh1 xs1 trunk.asc;10.3957;3;3.10223;71
-1;0;8;7;0.0188446;35.4166;spherefollowing;RANSAC;-25.1572;40.1457;8.6461;-25.1463;40.1383;8.71812;0.0281822;0.0731983;unknown;15-02 s1 tu-kh1 xs1 trunk.asc;10.3065;3;0.153738;69
-1;0;8;7;0.018662;35.3434;spherefollowing;NO;-25.1436;40.137;8.71769;-25.1155;40.1498;8.79204;0.0290469;0.0805397;unknown;15-02 s1 tu-kh1 xs1 trunk.asc;10.2303;3;0.153738;69
-1;0;9;8;0.015372;29.7117;taper;NO;-25.1155;40.1498;8.79204;-25.0972;40.1788;8.84874;0.0281822;0.0662834;unknown;15-02 s1 tu-kh1 xs1 trunk.asc;10.153;3;0.46995;63
-1;0;9;8;0.0152066;29.6454;taper;NO;-25.0972;40.1788;8.84874;-25.0934;40.1822;8.91705;0.0263508;0.0684976;unknown;15-02 s1 tu-kh1 xs1 trunk.asc;10.0819;3;0.46995;63
-1;0;9;8;0.0150572;29.5769;taper;RANSAC;-25.0934;40.1822;8.91705;-25.0978;40.1856;9.01932;0.0272665;0.102421;unknown;15-02 s1 tu-kh1 xs1 trunk.asc;9.99188;3;0.46995;63
-1;0;9;8;0.014818;29.4745;taper;RANSAC;-25.0978;40.1856;9.01932;-25.0335;40.1872;9.06521;0.0272665;0.0790081;unknown;15-02 s1 tu-kh1 xs1 trunk.asc;9.90721;3;0.46995;63
-1;0;9;8;0.0146335;29.3955;taper;NO;-25.0335;40.1872;9.06521;-25.0124;40.1876;9.13509;0.0272665;0.0729887;unknown;15-02 s1 tu-kh1 xs1 trunk.asc;9.83954;3;0.46995;63
-1;0;9;8;0.014463;29.3225;taper;NO;-25.0124;40.1876;9.13509;-25.0206;40.142;9.20123;0.0272665;0.0807516;unknown;15-02 s1 tu-kh1 xs1 trunk.asc;9.76389;3;0.46995;63
-1;0;10;9;0.0117091;28.28;attractor;RANSAC;-25.0206;40.142;9.20123;-25.0132;40.1631;9.27414;0.0268095;0.0762512;unknown;15-02 s1 tu-kh1 xs1 trunk.asc;9.67948;3;1.47169;61
-1;0;10;9;0.0115369;28.2038;attractor;RANSAC;-25.0132;40.1631;9.27414;-24.9874;40.1374;9.34815;0.0223786;0.0825077;unknown;15-02 s1 tu-kh1 xs1 trunk.asc;9.60135;3;1.47169;61
-1;0;10;9;0.0114071;28.1212;attractor;NO;-24.9874;40.1374;9.34815;-24.9607;40.1486;9.41792;0.0223786;0.0755418;unknown;15-02 s1 tu-kh1 xs1 trunk.asc;9.52134;3;1.47169;61
