branch_ID;branch_order;segment_ID;parent_segment_ID;growth_volume;growth_length;detection;improvement;startX;startY;startZ;endX;endY;endZ;radius;length;species;ID;length_to_leave; inverse_branch_order; length_of_segment;branch_order_cum
-1;0;0;-1;12.1288;1138.63;spherefollowing;NO;-25.8929;58.3909;-0.2465;-25.9529;58.0812;0.985769;0.570352;1.27201;unknown;15-02 s1 tu-kh1 xm1 - tree 5mil.txt;32.2401;8;4.70879;2312
-1;0;0;-1;10.8289;1137.35;spherefollowing;NO;-25.9529;58.0812;0.985769;-25.9353;57.8221;1.84514;0.494643;0.89776;unknown;15-02 s1 tu-kh1 xm1 - tree 5mil.txt;31.1211;8;4.70879;2312
-1;0;0;-1;10.1388;1136.46;spherefollowing;NO;-25.9353;57.8221;1.84514;-25.921;57.6484;2.54878;0.515139;0.7249;unknown;15-02 s1 tu-kh1 xm1 - tree 5mil.txt;30.2981;8;4.70879;2312
-1;0;0;-1;9.53448;1135.73;taper;NO;-25.921;57.6484;2.54878;-25.9533;57.4802;3.20359;0.501284;0.67685;unknown;15-02 s1 tu-kh1 xm1 - tree 5mil.txt;29.6241;8;4.70879;2312
-1;0;0;-1;9.00015;1135.06;spherefollowing;NO;-25.9533;57.4802;3.20359;-25.2432;57.179;4.03932;0.526345;1.13727;unknown;15-02 s1 tu-kh1 xm1 - tree 5mil.txt;28.778;8;4.70879;2312
-1;0;1;0;5.5426;859.965;spherefollowing;NO;-25.2432;57.179;4.03932;-25.5345;56.9942;4.8035;0.484713;0.838401;unknown;15-02 s1 tu-kh1 xm1 - tree 5mil.txt;27.7755;8;0.838401;1708
-1;0;2;1;4.29334;627.669;taper;NO;-25.5345;56.9942;4.8035;-25.5863;56.9903;5.53656;0.364416;0.734907;unknown;15-02 s1 tu-kh1 xm1 - tree 5mil.txt;26.9572;8;1.63829;1167
-1;0;2;1;3.98673;626.934;taper;NO;-25.5863;56.9903;5.53656;-25.8097;56.2448;5.99524;0.328862;0.903385;unknown;15-02 s1 tu-kh1 xm1 - tree 5mil.txt;26.212;8;1.63829;1167
-1;0;3;2;1.90035;411.268;spherefollowing;NO;-25.8097;56.2448;5.99524;-25.8892;56.0836;6.19747;0.281804;0.27059;unknown;15-02 s1 tu-kh1 xm1 - tree 5mil.txt;25.5786;8;0.903628;785
-1;0;3;2;1.83284;410.997;spherefollowing;NO;-25.8892;56.0836;6.19747;-25.8191;55.9587;6.47791;0.281804;0.314902;unknown;15-02 s1 tu-kh1 xm1 - tree 5mil.txt;25.2923;8;0.903628;785
-1;0;3;2;1.75428;410.682;taper;NO;-25.8191;55.9587;6.47791;-25.8894;55.7659;6.72098;0.279127;0.318136;unknown;15-02 s1 tu-kh1 xm1 - tree 5mil.txt;24.9785;8;0.903628;785
-1;0;4;3;1.67508;409.507;spherefollowing;NO;-25.8894;55.7659;6.72098;-26.351;55.7372;7.28258;0.202596;0.727561;unknown;15-02 s1 tu-kh1 xm1 - tree 5mil.txt;24.4506;8;0.727561;783
-1;0;5;4;0.965296;251.527;spherefollowing;NO;-26.351;55.7372;7.28258;-26.458;55.5915;7.50507;0.193305;0.286626;unknown;15-02 s1 tu-kh1 xm1 - tree 5mil.txt;23.9334;5;2.30698;496
-1;0;5;4;0.931648;251.24;spherefollowing;NO;-26.458;55.5915;7.50507;-26.5314;55.4149;7.68108;0.201421;0.259951;unknown;15-02 s1 tu-kh1 xm1 - tree 5mil.txt;23.6451;5;2.30698;496
-1;0;5;4;0.898516;250.98;spherefollowing;NO;-26.5314;55.4149;7.68108;-26.632;55.2341;7.84701;0.205525;0.26523;unknown;15-02 s1 tu-kh1 xm1 - tree 5mil.txt;23.373;5;2.30698;496
-1;0;5;4;0.863319;250.715;spherefollowing;NO;-26.632;55.2341;7.84701;-26.7667;55.058;8.01039;0.215056;0.275381;unknown;15-02 s1 tu-kh1 xm1 - tree 5mil.txt;23.0964;5;2.30698;496
-1;0;5;4;0.823307;250.44;taper;NO;-26.7667;55.058;8.01039;-26.885;54.863;8.16697;0.190268;0.27662;unknown;15-02 s1 tu-kh1 xm1 - tree 5mil.txt;22.8228;5;2.30698;496
-1;0;5;4;0.791846;250.163;taper;NO;-26.885;54.863;8.16697;-27.0013;54.6975;8.3883;0.178993;0.299873;unknown;15-02 s1 tu-kh1 xm1 - tree 5mil.txt;22.5552;5;2.30698;496
-1;0;5;4;0.761663;249.863;spherefollowing;NO;-27.0013;54.6975;8.3883;-27.5276;54.7035;8.75812;0.163584;0.643297;unknown;15-02 s1 tu-kh1 xm1 - tree 5mil.txt;22.1152;5;2.30698;496
-1;0;6;5;0.567071;227.642;spherefollowing;NO;-27.5276;54.7035;8.75812;-27.7163;54.6786;8.89166;0.134577;0.23246;unknown;15-02 s1 tu-kh1 xm1 - tree 5mil.txt;21.6477;5;0.480432;451
-1;0;6;5;0.553844;227.41;taper;NO;-27.7163;54.6786;8.89166;-27.6792;54.492;9.05073;0.13761;0.247972;unknown;15-02 s1 tu-kh1 xm1 - tree 5mil.txt;21.4408;5;0.480432;451
-1;0;7;6;0.536814;226.185;taper;NO;-27.6792;54.492;9.05073;-27.6187;54.4541;9.0962;0.131508;0.0846416;unknown;15-02 s1 tu-kh1 xm1 - tree 5mil.txt;21.2547;5;0.839752;449
