branch_ID;branch_order;segment_ID;parent_segment_ID;growth_volume;growth_length;detection;improvement;startX;startY;startZ;endX;endY;endZ;radius;length;species;ID;length_to_leave; inverse_branch_order; length_of_segment;branch_order_cum
-1;0;0;-1;31.5411;1265.16;spherefollowing;RANSAC;-10.1808;-2.5365;-2.0942;-10.0241;-2.64024;-1.06602;0.648617;1.04521;unknown;Tree_Piping02.asc;40.2342;9;1.04521;3375
-1;0;1;0;30.1302;1263.41;spherefollowing;RANSAC;-10.0241;-2.64024;-1.06602;-9.99121;-2.50634;0.0397282;0.620145;1.11431;unknown;Tree_Piping02.asc;39.1544;9;1.11431;3373
-1;0;2;1;28.7081;1261.16;spherefollowing;RANSAC;-9.99121;-2.50634;0.0397282;-9.98075;-2.33656;1.15337;0.620718;1.12656;unknown;Tree_Piping02.asc;38.0252;9;3.41702;3371
-1;0;2;1;27.3445;1260.03;taper;RANSAC;-9.95714;-2.30834;1.16217;-9.99941;-2.11296;2.034;0.620145;0.894453;unknown;Tree_Piping02.asc;37.014;9;3.41702;3371
-1;0;2;1;26.2639;1259.13;spherefollowing;RANSAC;-9.90861;-2.20707;2.04406;-9.41624;-2.37897;3.33901;0.625404;1.39601;unknown;Tree_Piping02.asc;35.8862;9;3.41702;3371
-1;0;3;2;10.8714;563.493;spherefollowing;NO;-9.95714;-2.30834;1.16217;-10.826;-1.52611;3.1673;0.437774;2.32107;unknown;Tree_Piping02.asc;33.9918;9;4.53206;1564
-1;0;3;2;9.47396;561.172;spherefollowing;RANSAC;-10.8162;-1.5456;3.17502;-10.9416;-1.37646;3.89206;0.436307;0.747304;unknown;Tree_Piping02.asc;32.4592;9;4.53206;1564
-1;0;3;2;9.02703;560.425;spherefollowing;RANSAC;-10.9314;-1.38258;3.89443;-11.0384;-1.26123;4.47947;0.436307;0.607;unknown;Tree_Piping02.asc;31.7926;9;4.53206;1564
-1;0;3;2;8.66401;559.818;spherefollowing;RANSAC;-11.0509;-1.28053;4.4605;-11.2359;-1.43835;5.28195;0.411853;0.856684;unknown;Tree_Piping02.asc;31.0858;9;4.53206;1564
-1;0;4;3;4.34277;266.469;spherefollowing;RANSAC;-11.2359;-1.43835;5.28195;-11.2076;-1.62635;5.96354;0.341933;0.707609;unknown;Tree_Piping02.asc;30.2826;8;5.09235;691
