branch_ID;branch_order;segment_ID;parent_segment_ID;growth_volume;growth_length;detection;improvement;startX;startY;startZ;endX;endY;endZ;radius;length;species;ID;length_to_leave; inverse_branch_order; length_of_segment;branch_order_cum
-1;0;0;-1;2.80115;691.035;taper;RANSAC;-3.6775;-6.23476;-1.18412;-3.72976;-6.31567;-0.53049;0.299093;0.660687;unknown;15-02 s2 tp-km1 o trunk.asc;29.8502;7;1.19834;1693
-1;0;0;-1;2.61547;690.374;spherefollowing;RANSAC;-3.71007;-6.31034;-0.524938;-3.73758;-6.34889;0.0106278;0.288614;0.537656;unknown;15-02 s2 tp-km1 o trunk.asc;29.2492;7;1.19834;1693
-1;0;1;0;2.4725;686.897;taper;RANSAC;-3.73758;-6.34889;0.0106278;-3.67094;-6.38207;0.398551;0.276742;0.395002;unknown;15-02 s2 tp-km1 o trunk.asc;28.7471;7;0.839162;1683
-1;0;1;0;2.37746;686.502;taper;NO;-3.6515;-6.34934;0.406181;-4.06653;-6.3205;0.56175;0.173047;0.44416;unknown;15-02 s2 tp-km1 o trunk.asc;28.4041;7;0.839162;1683
-1;0;2;1;1.0863;264.269;spherefollowing;NO;-3.73758;-6.34889;0.0106278;-3.43356;-6.55225;0.856244;0.185759;0.921333;unknown;15-02 s2 tp-km1 o trunk.asc;27.6781;6;1.81586;655
-1;0;2;1;0.986422;263.347;spherefollowing;RANSAC;-3.45942;-6.5647;0.865453;-3.40005;-6.56672;1.13776;0.185759;0.278712;unknown;15-02 s2 tp-km1 o trunk.asc;27.0781;6;1.81586;655
-1;0;2;1;0.956208;263.068;spherefollowing;RANSAC;-3.40213;-6.56615;1.13748;-3.34576;-6.54657;1.34822;0.188861;0.219022;unknown;15-02 s2 tp-km1 o trunk.asc;26.8335;6;1.81586;655
-1;0;2;1;0.931666;262.849;spherefollowing;RANSAC;-3.34747;-6.54059;1.35043;-3.17228;-6.57004;1.70523;0.201522;0.396794;unknown;15-02 s2 tp-km1 o trunk.asc;26.526;6;1.81586;655
-1;0;3;2;0.860036;259.732;spherefollowing;RANSAC;-3.17228;-6.57004;1.70523;-3.03559;-6.60366;1.93061;0.188278;0.265719;unknown;15-02 s2 tp-km1 o trunk.asc;26.1917;6;1.34083;649
-1;0;3;2;0.830444;259.466;spherefollowing;RANSAC;-3.03784;-6.60917;1.92955;-2.93333;-6.6369;2.15753;0.178691;0.252321;unknown;15-02 s2 tp-km1 o trunk.asc;25.9336;6;1.34083;649
-1;0;3;2;0.805133;259.214;spherefollowing;RANSAC;-2.929;-6.64198;2.16001;-2.76351;-6.62139;2.41381;0.178844;0.303684;unknown;15-02 s2 tp-km1 o trunk.asc;25.6539;6;1.34083;649
-1;0;3;2;0.774618;258.91;spherefollowing;RANSAC;-2.75893;-6.62748;2.41075;-2.64333;-6.58667;2.63456;0.184639;0.25519;unknown;15-02 s2 tp-km1 o trunk.asc;25.378;6;1.34083;649
-1;0;3;2;0.747287;258.655;spherefollowing;RANSAC;-2.6435;-6.58583;2.6348;-2.54041;-6.51305;2.86659;0.183214;0.263915;unknown;15-02 s2 tp-km1 o trunk.asc;25.1185;6;1.34083;649
-1;0;4;3;0.704521;257.969;spherefollowing;RANSAC;-2.54041;-6.51305;2.86659;-2.49478;-6.48827;3.01785;0.183245;0.159924;unknown;15-02 s2 tp-km1 o trunk.asc;24.9053;6;0.462448;647
-1;0;4;3;0.68765;257.809;spherefollowing;RANSAC;-2.49895;-6.49177;3.02005;-2.41251;-6.41671;3.30008;0.201262;0.302523;unknown;15-02 s2 tp-km1 o trunk.asc;24.6742;6;0.462448;647
-1;0;5;4;0.647279;256.369;spherefollowing;RANSAC;-2.41251;-6.41671;3.30008;-2.41054;-6.39662;3.46189;0.183245;0.16307;unknown;15-02 s2 tp-km1 o trunk.asc;24.4403;6;0.582185;644
-1;0;5;4;0.630076;256.206;taper;RANSAC;-2.39719;-6.38877;3.45567;-2.32958;-6.36582;3.59937;0.177677;0.160461;unknown;15-02 s2 tp-km1 o trunk.asc;24.2831;6;0.582185;644
-1;0;5;4;0.614162;256.046;taper;RANSAC;-2.32835;-6.36197;3.59821;-2.26811;-6.34163;3.84893;0.161625;0.258655;unknown;15-02 s2 tp-km1 o trunk.asc;24.0721;6;0.582185;644
-1;0;6;5;0.581358;252.746;spherefollowing;RANSAC;-2.26811;-6.34163;3.84893;-2.2185;-6.34445;4.08981;0.177677;0.245954;unknown;15-02 s2 tp-km1 o trunk.asc;23.8177;6;0.245954;638
-1;0;7;6;0.556636;252.056;spherefollowing;RANSAC;-2.2185;-6.34445;4.08981;-2.19338;-6.31434;4.27344;0.177677;0.187768;unknown;15-02 s2 tp-km1 o trunk.asc;23.5985;6;0.323603;636
-1;0;7;6;0.538013;251.868;spherefollowing;NO;-2.19835;-6.27209;4.27361;-2.26152;-6.28918;4.39265;0.177677;0.135835;unknown;15-02 s2 tp-km1 o trunk.asc;23.4398;6;0.323603;636
-1;0;8;7;0.524302;251.325;taper;RANSAC;-2.26152;-6.28918;4.39265;-2.06905;-6.42276;4.46674;0.177677;0.245719;unknown;15-02 s2 tp-km1 o trunk.asc;23.2482;6;0.245719;634
