branch_ID;branch_order;segment_ID;parent_segment_ID;growth_volume;growth_length;detection;improvement;startX;startY;startZ;endX;endY;endZ;radius;length;species;ID;length_to_leave; inverse_branch_order; length_of_segment;branch_order_cum
-1;0;0;-1;11.8909;1529.88;spherefollowing;RANSAC;11.3002;2.65584;-1.39058;11.6412;2.61422;-0.0546261;0.754291;1.3794;unknown;branch pts.asc;44.3131;9;3.74043;3635
-1;0;0;-1;9.42536;1528.5;taper;RANSAC;11.641;2.6484;-0.0497288;11.8674;2.53217;1.06953;0.603672;1.14783;unknown;branch pts.asc;43.0497;9;3.74043;3635
-1;0;0;-1;8.11137;1527.35;spherefollowing;RANSAC;11.8718;2.49653;1.07493;12.3165;2.45591;2.20296;0.603672;1.2132;unknown;branch pts.asc;41.8685;9;3.74043;3635
-1;0;1;0;6.53291;1498.71;taper;NO;12.3165;2.45591;2.20296;12.6116;2.87001;3.03139;0.315408;0.972039;unknown;branch pts.asc;40.6706;9;2.37633;3566
-1;0;1;0;6.22911;1497.74;spherefollowing;NO;12.6116;2.87001;3.03139;11.2743;3.23887;3.24972;0.276836;1.40429;unknown;branch pts.asc;39.7757;9;2.37633;3566
-1;0;2;1;2.09895;366.509;taper;NO;12.3165;2.45591;2.20296;13.085;2.10701;4.1345;0.265462;2.10787;unknown;branch pts.asc;37.8297;7;2.37056;958
-1;0;2;1;1.6323;364.401;taper;RANSAC;13.0302;2.09137;4.15164;13.0556;2.06014;4.41123;0.269629;0.262696;unknown;branch pts.asc;36.6472;7;2.37056;958
-1;0;3;2;1.56703;363.256;spherefollowing;RANSAC;13.0556;2.06014;4.41123;13.2572;2.00239;4.69221;0.276836;0.350584;unknown;branch pts.asc;36.3406;7;0.861762;954
-1;0;3;2;1.48262;362.905;taper;RANSAC;13.2705;1.99968;4.68471;13.564;1.95175;5.10048;0.224442;0.511178;unknown;branch pts.asc;35.9088;7;0.861762;954
-1;0;4;3;0.450372;219.133;taper;RANSAC;13.564;1.95175;5.10048;13.6485;2.01062;5.26572;0.183579;0.194723;unknown;branch pts.asc;35.5562;5;0.451764;569
