branch_ID;branch_order;segment_ID;parent_segment_ID;growth_volume;growth_length;detection;improvement;startX;startY;startZ;endX;endY;endZ;radius;length;species;ID;length_to_leave; inverse_branch_order; length_of_segment;branch_order_cum
-1;0;0;-1;0.575558;149.234;spherefollowing;NO;7.97091;-17.112;-0.7464;7.94988;-17.1154;-0.555668;0.137187;0.191918;unknown;10-02 s2 tr-kh1 xs2 simple tree trunk1;10.4028;6;0.394438;343
-1;0;0;-1;0.564211;149.042;taper;NO;7.94988;-17.1154;-0.555668;7.9393;-17.1811;-0.364403;0.137187;0.20252;unknown;10-02 s2 tr-kh1 xs2 simple tree trunk1;10.2072;6;0.394438;343
-1;0;1;0;0.550773;148.2;spherefollowing;NO;7.9393;-17.1811;-0.364403;7.9729;-17.1589;-0.0815659;0.137187;0.285691;unknown;10-02 s2 tr-kh1 xs2 simple tree trunk1;9.96226;6;0.285691;341
-1;0;2;1;0.405788;114.174;spherefollowing;RANSAC;7.9729;-17.1589;-0.0815659;7.95598;-17.2483;0.0803484;0.149345;0.185725;unknown;10-02 s2 tr-kh1 xs2 simple tree trunk1;9.72484;6;0.400143;257
-1;0;2;1;0.392774;113.988;spherefollowing;RANSAC;7.95816;-17.2533;0.0816272;7.96371;-17.2491;0.295933;0.137187;0.214418;unknown;10-02 s2 tr-kh1 xs2 simple tree trunk1;9.5284;6;0.400143;257
-1;0;3;2;0.379915;113.444;spherefollowing;NO;7.96371;-17.2491;0.295933;7.97761;-17.1716;0.457603;0.11892;0.179826;unknown;10-02 s2 tr-kh1 xs2 simple tree trunk1;9.32834;6;0.376194;255
-1;0;3;2;0.371926;113.264;spherefollowing;NO;7.97761;-17.1716;0.457603;7.99016;-17.157;0.653023;0.109098;0.196368;unknown;10-02 s2 tr-kh1 xs2 simple tree trunk1;9.14242;6;0.376194;255
-1;0;4;3;0.363688;112.718;taper;NO;7.99016;-17.157;0.653023;8.03546;-17.1756;0.79917;0.101738;0.154127;unknown;10-02 s2 tr-kh1 xs2 simple tree trunk1;8.96539;6;0.392639;253
-1;0;4;3;0.358676;112.564;taper;NO;8.03546;-17.1756;0.79917;8.04704;-17.1527;1.0363;0.098823;0.238512;unknown;10-02 s2 tr-kh1 xs2 simple tree trunk1;8.77083;6;0.392639;253
-1;0;5;4;0.347697;111.506;spherefollowing;NO;8.04704;-17.1527;1.0363;7.90786;-17.1459;1.21968;0.0898673;0.230316;unknown;10-02 s2 tr-kh1 xs2 simple tree trunk1;8.53528;6;0.230316;250
-1;0;6;5;0.204889;58.5831;spherefollowing;NO;7.90786;-17.1459;1.21968;7.90486;-17.1174;1.37631;0.0898673;0.159236;unknown;10-02 s2 tr-kh1 xs2 simple tree trunk1;8.34051;4;0.159236;118
-1;0;7;6;0.200639;58.0983;taper;NO;7.90486;-17.1174;1.37631;7.95212;-17.1444;1.48809;0.0909988;0.124339;unknown;10-02 s2 tr-kh1 xs2 simple tree trunk1;8.19872;4;0.124339;116
-1;0;8;7;0.1907;53.0393;spherefollowing;NO;7.95212;-17.1444;1.48809;7.94198;-17.1979;1.56171;0.0909988;0.0915513;unknown;10-02 s2 tr-kh1 xs2 simple tree trunk1;8.08881;4;0.499879;106
-1;0;8;7;0.188318;52.9477;spherefollowing;RANSAC;7.93398;-17.2159;1.55957;7.91898;-17.2426;1.64915;0.0909988;0.0946838;unknown;10-02 s2 tr-kh1 xs2 simple tree trunk1;7.99127;4;0.499879;106
-1;0;8;7;0.185855;52.8531;spherefollowing;RANSAC;7.92439;-17.2454;1.6487;7.90915;-17.2349;1.78143;0.0909988;0.134019;unknown;10-02 s2 tr-kh1 xs2 simple tree trunk1;7.88753;4;0.499879;106
-1;0;8;7;0.182369;52.719;spherefollowing;NO;7.90784;-17.2208;1.78285;7.88441;-17.1712;1.9539;0.0772626;0.179625;unknown;10-02 s2 tr-kh1 xs2 simple tree trunk1;7.73067;4;0.499879;106
-1;0;9;8;0.178841;52.3572;spherefollowing;NO;7.88441;-17.1712;1.9539;7.878;-17.1718;2.0711;0.0855324;0.117382;unknown;10-02 s2 tr-kh1 xs2 simple tree trunk1;7.57715;4;0.553496;104
-1;0;9;8;0.176144;52.2398;taper;NO;7.878;-17.1718;2.0711;7.86437;-17.1875;2.18823;0.0803913;0.118946;unknown;10-02 s2 tr-kh1 xs2 simple tree trunk1;7.45828;4;0.553496;104
-1;0;9;8;0.173729;52.1209;spherefollowing;NO;7.86437;-17.1875;2.18823;7.84802;-17.1749;2.35225;0.0853999;0.165311;unknown;10-02 s2 tr-kh1 xs2 simple tree trunk1;7.31686;4;0.553496;104
-1;0;9;8;0.169941;51.9556;spherefollowing;NO;7.84802;-17.1749;2.35225;7.79432;-17.1444;2.49097;0.0651098;0.151858;unknown;10-02 s2 tr-kh1 xs2 simple tree trunk1;7.15986;4;0.553496;104
-1;0;10;9;0.167652;51.4305;spherefollowing;NO;7.79432;-17.1444;2.49097;7.77954;-17.1609;2.59246;0.0650893;0.103891;unknown;10-02 s2 tr-kh1 xs2 simple tree trunk1;7.03046;4;0.328707;102
-1;0;10;9;0.166269;51.3267;spherefollowing;RANSAC;7.78182;-17.1666;2.59219;7.75779;-17.1877;2.69185;0.0650893;0.104658;unknown;10-02 s2 tr-kh1 xs2 simple tree trunk1;6.92518;4;0.328707;102
-1;0;10;9;0.164876;51.222;spherefollowing;RANSAC;7.75779;-17.1877;2.69185;7.76527;-17.2481;2.79547;0.0650893;0.120159;unknown;10-02 s2 tr-kh1 xs2 simple tree trunk1;6.81518;4;0.328707;102
-1;0;11;10;0.163009;50.9038;spherefollowing;RANSAC;7.75779;-17.1877;2.69185;7.71766;-17.1761;2.87024;0.0650893;0.183214;unknown;10-02 s2 tr-kh1 xs2 simple tree trunk1;6.66185;4;0.544116;100
-1;0;11;10;0.16057;50.7206;spherefollowing;NO;7.72039;-17.1692;2.8737;7.73154;-17.1607;2.96583;0.0650893;0.0931918;unknown;10-02 s2 tr-kh1 xs2 simple tree trunk1;6.52189;4;0.544116;100
-1;0;11;10;0.15933;50.6274;taper;NO;7.73154;-17.1607;2.96583;7.76169;-17.179;3.05261;0.0670144;0.0936727;unknown;10-02 s2 tr-kh1 xs2 simple tree trunk1;6.43183;4;0.544116;100
-1;0;11;10;0.158008;50.5337;taper;NO;7.76169;-17.179;3.05261;7.76999;-17.1718;3.22631;0.0650337;0.174038;unknown;10-02 s2 tr-kh1 xs2 simple tree trunk1;6.29888;4;0.544116;100
-1;0;12;11;0.0760387;23.023;spherefollowing;NO;7.73154;-17.1607;2.96583;7.71307;-17.3354;3.08474;0.0659243;0.212154;unknown;10-02 s2 tr-kh1 xs2 simple tree trunk1;6.05448;3;0.806219;44
-1;0;12;11;0.0731421;22.8108;taper;RANSAC;7.70159;-17.3162;3.0901;7.68208;-17.3269;3.18618;0.0659243;0.0986331;unknown;10-02 s2 tr-kh1 xs2 simple tree trunk1;5.8603;3;0.806219;44
-1;0;12;11;0.0717954;22.7122;taper;RANSAC;7.68208;-17.3269;3.18618;7.66425;-17.3271;3.24233;0.0659243;0.0589157;unknown;10-02 s2 tr-kh1 xs2 simple tree trunk1;5.75978;3;0.806219;44
-1;0;12;11;0.070991;22.6533;taper;RANSAC;7.66425;-17.3271;3.24233;7.70243;-17.3698;3.29569;0.0659243;0.0783061;unknown;10-02 s2 tr-kh1 xs2 simple tree trunk1;5.69508;3;0.806219;44
-1;0;12;11;0.0699219;22.575;spherefollowing;RANSAC;7.70243;-17.3698;3.29569;7.69438;-17.3794;3.35341;0.0614459;0.0590657;unknown;10-02 s2 tr-kh1 xs2 simple tree trunk1;5.64801;3;0.806219;44
-1;0;12;11;0.0692213;22.5159;spherefollowing;RANSAC;7.69183;-17.3782;3.35555;7.6958;-17.4191;3.41233;0.0614459;0.0701018;unknown;10-02 s2 tr-kh1 xs2 simple tree trunk1;5.60609;3;0.806219;44
-1;0;12;11;0.0683898;22.4458;taper;NO;7.7026;-17.4283;3.40951;7.66503;-17.39;3.46442;0.0605304;0.0767646;unknown;10-02 s2 tr-kh1 xs2 simple tree trunk1;5.5876;3;0.806219;44
-1;0;12;11;0.0675062;22.369;spherefollowing;NO;7.66503;-17.39;3.46442;7.53309;-17.4101;3.39108;0.054314;0.152278;unknown;10-02 s2 tr-kh1 xs2 simple tree trunk1;5.50427;3;0.806219;44
-1;0;13;12;0.037037;12.9935;taper;NO;7.66503;-17.39;3.46442;7.67577;-17.4045;3.61812;0.05945;0.154752;unknown;10-02 s2 tr-kh1 xs2 simple tree trunk1;5.32662;2;0.422093;26
-1;0;13;12;0.0353188;12.8388;taper;RANSAC;7.68374;-17.4156;3.61613;7.68949;-17.4419;3.66931;0.0550936;0.0596322;unknown;10-02 s2 tr-kh1 xs2 simple tree trunk1;5.22006;2;0.422093;26
-1;0;13;12;0.0347501;12.7791;taper;RANSAC;7.69497;-17.4402;3.67124;7.68436;-17.4563;3.72155;0.0557684;0.0538757;unknown;10-02 s2 tr-kh1 xs2 simple tree trunk1;5.16307;2;0.422093;26
