branch_ID;branch_order;segment_ID;parent_segment_ID;growth_volume;growth_length;detection;improvement;startX;startY;startZ;endX;endY;endZ;radius;length;species;ID;length_to_leave; inverse_branch_order; length_of_segment;branch_order_cum
-1;0;0;-1;7.09052;1317.03;taper;RANSAC;-8.79926;1.36202;-1.17635;-8.72081;1.44588;-0.349145;0.400449;0.835137;unknown;15-02 s2 tp-kh2 st TRUNK1;28.9673;7;3.00526;2190
-1;0;0;-1;6.66979;1316.2;taper;RANSAC;-8.72876;1.44191;-0.348621;-8.70473;1.43335;0.396946;0.408646;0.746004;unknown;15-02 s2 tp-kh2 st TRUNK1;28.1041;7;3.00526;2190
-1;0;0;-1;6.27842;1315.45;taper;RANSAC;-8.69583;1.43769;0.397048;-8.60163;1.44192;1.0607;0.361419;0.670318;unknown;15-02 s2 tp-kh2 st TRUNK1;27.4092;7;3.00526;2190
-1;0;0;-1;6.00335;1314.78;spherefollowing;NO;-8.57871;1.43266;1.0596;-9.10406;1.81318;1.44358;0.173375;0.753803;unknown;15-02 s2 tp-kh2 st TRUNK1;26.8307;7;3.00526;2190
-1;0;1;0;2.61607;531.766;spherefollowing;NO;-9.10406;1.81318;1.44358;-9.0784;1.28436;1.61533;0.173375;0.556605;unknown;15-02 s2 tp-kh2 st TRUNK1;25.9713;6;2.57323;920
-1;0;1;0;2.56351;531.209;taper;RANSAC;-9.0784;1.28436;1.61533;-9.04378;1.5386;1.91224;0.16573;0.392418;unknown;15-02 s2 tp-kh2 st TRUNK1;25.5718;6;2.57323;920
-1;0;1;0;2.52965;530.817;taper;RANSAC;-9.04378;1.5386;1.91224;-9.20639;1.42733;2.05927;0.16573;0.245846;unknown;15-02 s2 tp-kh2 st TRUNK1;25.3871;6;2.57323;920
-1;0;1;0;2.50843;530.571;taper;RANSAC;-9.20639;1.42733;2.05927;-9.18292;1.40539;2.15638;0.16573;0.102286;unknown;15-02 s2 tp-kh2 st TRUNK1;25.2189;6;2.57323;920
-1;0;1;0;2.49961;530.469;taper;RANSAC;-9.18292;1.40539;2.15638;-9.12929;1.3028;2.16247;0.16573;0.115923;unknown;15-02 s2 tp-kh2 st TRUNK1;25.0991;6;2.57323;920
-1;0;1;0;2.48961;530.353;taper;NO;-9.12929;1.3028;2.16247;-9.04716;1.24456;2.13151;0.165345;0.10534;unknown;15-02 s2 tp-kh2 st TRUNK1;25.0143;6;2.57323;920
