branch_ID;branch_order;segment_ID;parent_segment_ID;growth_volume;growth_length;detection;improvement;startX;startY;startZ;endX;endY;endZ;radius;length;species;ID;length_to_leave; inverse_branch_order; length_of_segment;branch_order_cum
-1;0;0;-1;6.04531;1667.25;taper;NO;-31.2951;36.6514;-0.807636;-31.4828;37.2641;-0.257754;0.274292;0.844363;unknown;17-02 s1 barrer gh2.asc;34.991;8;0.844363;4231
-1;0;1;0;5.82049;1663.06;taper;NO;-31.4828;37.2641;-0.257754;-32.1729;36.9017;0.0580894;0.2669;0.841047;unknown;17-02 s1 barrer gh2.asc;34.1483;8;0.841047;4227
-1;0;2;1;3.83213;1170.26;taper;NO;-32.1729;36.9017;0.0580894;-31.9019;37.127;1.0122;0.256056;1.01712;unknown;17-02 s1 barrer gh2.asc;33.2193;8;1.01712;2877
-1;0;3;2;3.58553;1116.61;taper;NO;-31.9019;37.127;1.0122;-31.6166;37.6098;1.47863;0.243927;0.729402;unknown;17-02 s1 barrer gh2.asc;32.346;8;0.729402;2683
-1;0;4;3;1.97976;557.706;taper;NO;-31.9019;37.127;1.0122;-31.3545;36.957;1.26632;0.241757;0.627014;unknown;17-02 s1 barrer gh2.asc;31.6398;8;2.74502;1338
-1;0;4;3;1.86463;557.079;taper;NO;-31.3545;36.957;1.26632;-31.5889;36.7855;2.11255;0.236344;0.894702;unknown;17-02 s1 barrer gh2.asc;31.0477;8;2.74502;1338
-1;0;4;3;1.70763;556.185;spherefollowing;NO;-31.5889;36.7855;2.11255;-31.5026;36.713;2.74254;0.236344;0.639987;unknown;17-02 s1 barrer gh2.asc;30.2619;8;2.74502;1338
-1;0;4;3;1.59532;555.545;spherefollowing;NO;-31.5026;36.713;2.74254;-31.4274;36.7616;3.31894;0.218237;0.583313;unknown;17-02 s1 barrer gh2.asc;29.5708;8;2.74502;1338
-1;0;5;4;1.50119;553.641;spherefollowing;NO;-31.4274;36.7616;3.31894;-31.3789;36.8173;3.7838;0.193889;0.470688;unknown;17-02 s1 barrer gh2.asc;29.0009;8;0.470688;1336
-1;0;6;5;1.44042;550.11;spherefollowing;NO;-31.3789;36.8173;3.7838;-31.3178;36.991;4.1663;0.193889;0.424517;unknown;17-02 s1 barrer gh2.asc;28.5533;8;0.424517;1330
-1;0;7;6;0.683083;289.745;taper;NO;-31.4274;36.7616;3.31894;-31.6053;36.5353;4.04625;0.195071;0.782212;unknown;17-02 s1 barrer gh2.asc;27.9478;7;0.942265;697
-1;0;7;6;0.589571;288.963;taper;NO;-31.6053;36.5353;4.04625;-31.6379;36.536;4.20296;0.194758;0.160054;unknown;17-02 s1 barrer gh2.asc;27.4791;7;0.942265;697
-1;0;8;7;0.569421;287.753;taper;NO;-31.6379;36.536;4.20296;-31.6651;36.5447;4.34208;0.192232;0.142023;unknown;17-02 s1 barrer gh2.asc;27.3272;7;0.820843;693
-1;0;8;7;0.552933;287.611;taper;NO;-31.6651;36.5447;4.34208;-31.7138;36.5287;4.47248;0.18993;0.140138;unknown;17-02 s1 barrer gh2.asc;27.1862;7;0.820843;693
-1;0;8;7;0.537051;287.471;spherefollowing;NO;-31.7138;36.5287;4.47248;-31.7944;36.4963;4.64216;0.162675;0.190618;unknown;17-02 s1 barrer gh2.asc;27.0219;7;0.820843;693
-1;0;8;7;0.521205;287.28;spherefollowing;NO;-31.7944;36.4963;4.64216;-31.8471;36.4638;4.98466;0.162675;0.348064;unknown;17-02 s1 barrer gh2.asc;26.7535;7;0.820843;693
-1;0;9;8;0.490479;286.402;spherefollowing;NO;-31.8471;36.4638;4.98466;-31.9408;36.4006;5.22902;0.155504;0.269225;unknown;17-02 s1 barrer gh2.asc;26.4413;7;1.9391;691
-1;0;9;8;0.470026;286.133;taper;NO;-31.9408;36.4006;5.22902;-31.9882;36.42;5.56124;0.17306;0.336128;unknown;17-02 s1 barrer gh2.asc;26.1411;7;1.9391;691
-1;0;9;8;0.4384;285.797;taper;NO;-31.9882;36.42;5.56124;-32.0661;36.3895;5.78736;0.168293;0.241111;unknown;17-02 s1 barrer gh2.asc;25.8516;7;1.9391;691
-1;0;9;8;0.416946;285.556;spherefollowing;NO;-32.0661;36.3895;5.78736;-32.1367;36.3568;6.01353;0.168293;0.239165;unknown;17-02 s1 barrer gh2.asc;25.6124;7;1.9391;691
-1;0;9;8;0.395666;285.317;spherefollowing;NO;-32.1367;36.3568;6.01353;-32.1524;36.4104;6.25326;0.168293;0.246146;unknown;17-02 s1 barrer gh2.asc;25.3742;7;1.9391;691
-1;0;9;8;0.373765;285.071;spherefollowing;NO;-32.1524;36.4104;6.25326;-32.195;36.4548;6.48247;0.169368;0.237347;unknown;17-02 s1 barrer gh2.asc;25.1335;7;1.9391;691
-1;0;9;8;0.352376;284.833;spherefollowing;NO;-32.195;36.4548;6.48247;-32.2173;36.4657;6.85161;0.130292;0.369973;unknown;17-02 s1 barrer gh2.asc;24.8271;7;1.9391;691
-1;0;10;9;0.317162;280.322;spherefollowing;NO;-32.2173;36.4657;6.85161;-32.2839;36.3623;7.09078;0.130292;0.268897;unknown;17-02 s1 barrer gh2.asc;24.5044;7;0.268897;675
-1;0;11;10;0.302205;278.968;spherefollowing;NO;-32.2839;36.3623;7.09078;-32.3149;36.3389;7.32239;0.130292;0.234858;unknown;17-02 s1 barrer gh2.asc;24.2428;7;1.077;670
-1;0;11;10;0.289679;278.734;spherefollowing;NO;-32.3149;36.3389;7.32239;-32.3572;36.3245;7.51938;0.138755;0.201986;unknown;17-02 s1 barrer gh2.asc;24.012;7;1.077;670
-1;0;11;10;0.277462;278.532;spherefollowing;NO;-32.3572;36.3245;7.51938;-32.408;36.3059;7.78369;0.130292;0.269803;unknown;17-02 s1 barrer gh2.asc;23.7791;7;1.077;670
-1;0;11;10;0.263073;278.262;spherefollowing;NO;-32.408;36.3059;7.78369;-32.3343;36.5383;8.06245;0.114918;0.370351;unknown;17-02 s1 barrer gh2.asc;23.4877;7;1.077;670
-1;0;12;11;0.200895;239.7;taper;NO;-32.3343;36.5383;8.06245;-32.3375;36.5673;8.30873;0.125407;0.24801;unknown;17-02 s1 barrer gh2.asc;23.1687;7;0.431209;571
-1;0;12;11;0.188641;239.452;spherefollowing;NO;-32.3375;36.5673;8.30873;-32.3265;36.6163;8.48493;0.114918;0.183199;unknown;17-02 s1 barrer gh2.asc;22.9536;7;0.431209;571
