Tree ID,DBH,Branch size,Branch type,Branch angle,number of bird species,number of individual birds
TUKH1,133,small,dead,10,2,2
TUKH1,133,small,dead,5,1,1
TUKH1,133,medium,live,10,2,2
TUKH1,133,medium,live,5,1,1
TUKH1,133,small,live,10,1,1
TUKH1,133,small,dead,25,1,2
TUKH1,133,small,dead,30,1,2
TUKH1,133,small,dead,40,1,1
GIKM2,77,medium,dead,0,1,1
GIKM2,77,small,dead,5,1,1
GIKM2,77,small,dead,0,2,4
GIKM2,77,small,dead,15,1,1
GIKM2,77,small,dead,10,1,2
GPKH2,83,small,dead,10,1,2
GPKH2,83,small,dead,0,2,2
GPKH2,83,small,dead,45,2,2
GPKH2,83,medium,dead,30,1,1
GPKH2,83,small,dead,30,2,2
GPKM2,68,small,dead,30,1,1
GPKM2,68,small,dead,10,2,3
GPKM2,68,small,dead,0,1,1
MRKH1,110,small,dead,70,1,1
MRKH1,110,medium,dead,5,1,1
MRKH1,110,medium,live,0,1,1
MRKH1,110,medium,live,10,2,2
GIKH1,94,medium,live,0,1,1
TRKH1,94,small,dead,0,1,1
TRKH1,94,small,dead,10,2,2
TRKH1,94,small,dead,5,1,1
TRKH1,94,small,dead,20,1,1
TUKH2,146,small,dead,0,3,4
TUKH2,146,small,live,0,1,1
TUKH2,146,small,live,10,1,1
TUKH2,146,small,dead,80,1,1
TUKH2,146,medium,live,10,3,3
TUKH2,146,medium,live,5,1,1
TUKH2,146,small,dead,10,1,1
TRKS1,41,small,live,0,1,1
TRKS1,41,small,dead,0,1,1
TIKH1,101,small,live,30,1,1
TIKH1,101,small,live,15,1,1
TIKH1,101,small,live,10,1,1
TIKH1,101,medium,live,10,2,2
TIKH1,101,medium,live,5,1,1
TIKH1,101,small,dead,30,1,1
TIKH1,101,small,dead,15,1,1
TIKH1,101,small,dead,10,1,1
GPKH1,170,small,live,15,1,1
GPKH1,170,small,dead,5,2,2
GPKH1,170,medium,dead,0,1,1
GPKH1,170,small,dead,0,2,3
GPKH1,170,small,dead,35,1,1
GPKH1,170,small,dead,15,1,1
MPKM2,59,small,dead,10,2,2
MPKM2,59,small,dead,15,1,2
MPKM2,59,small,dead,20,1,1
MPKM2,59,small,dead,0,1,1
MPKH2,108,small,dead,0,2,2
MPKH2,108,small,dead,10,2,2
MPKH2,108,small,dead,5,1,1
MPKH2,108,small,dead,15,1,1
GUKH1,132,medium,live,10,2,2
GRKM2,63,medium,live,10,1,1
GRKM2,63,small,dead,30,1,1
GIKM1,68,small,live,10,1,1
GIKM1,68,small,dead,5,1,1
GIKM1,68,medium,live,20,1,1
GIKM1,68,medium,live,0,1,1
GIKM1,68,medium,live,25,1,1
GIKM1,68,small,dead,10,1,1
GRKH2,100,small,dead,0,1,1
GRKH1,135,small,live,10,1,1
GRKH1,135,small,dead,10,1,1
MUKH2,96,small,dead,0,1,1
MUKH2,96,small,live,10,1,1
MUKH2,96,small,dead,10,1,1
MRKM1,56,medium,live,0,1,1
MRKM1,56,medium,live,5,1,1
MUKH1,99,small,live,5,1,1
MUKH1,99,small,dead,5,1,1
TRKM2,74,medium,dead,90,1,1
TRKM2,74,medium,dead,80,1,1
TRKM2,74,large,dead,0,1,1
TRKM2,74,small,live,15,1,1
TRKM2,74,medium,dead,45,1,1
TRKM2,74,medium,dead,50,1,1
TRKM2,74,small,dead,15,1,1
TRKM1,53,small,live,10,1,1
TRKM1,53,medium,dead,15,1,2
TRKM1,53,medium,live,20,1,1
TRKM1,53,small,dead,10,1,1
TUKS2,40,small,live,5,1,1
TUKS2,40,small,dead,5,1,1
TIKM2,63,medium,live,10,1,1
TIKM2,63,medium,live,5,1,1
TUKM1,62,medium,live,10,1,1
GPKS1,47,small,dead,30,1,3
MUKM1,51,small,live,20,1,1
MUKM1,51,small,dead,20,1,1
MIKM2,65,small,dead,0,2,2
MUKS2,40.5,small,dead,5,1,1
MUKS2,40.5,small,live,0,1,1
MUKS2,40.5,small,dead,15,1,1
MUKS2,40.5,small,dead,0,1,1
MRKS1,30,medium,live,15,1,1
MRKS1,30,small,live,20,1,1
MRKS1,30,small,dead,20,1,1
GUKS1,33,medium,live,30,1,1
GUKS1,33,small,dead,0,1,1
GIKH2,98.5,medium,dead,35,1,1
GPKM1,72,small,live,20,1,1
GPKM1,72,small,dead,0,1,1
GPKM1,72,small,dead,20,1,1
MRKH2,114,medium,dead,20,1,1
MRKH2,114,medium,live,5,1,1
MRKH2,114,medium,dead,10,1,1
TRKH2,82,small,dead,15,1,1
TRKH2,82,medium,live,10,1,1
TRKH2,82,medium,live,20,1,1
TRKH2,82,medium,dead,15,2,2
TRKH2,82,small,dead,90,1,1
TRKH2,82,small,dead,20,1,2
TIKM1,79,medium,live,15,1,1
TIKM1,79,medium,dead,10,1,1
TIKM1,79,medium,live,10,1,1
TIKM1,79,medium,dead,5,1,1
MPKH1,126,small,dead,5,2,3
MPKH1,126,small,dead,0,1,1
MPKH1,126,medium,dead,5,1,1
MPKH1,126,small,live,5,1,1
TPKH1,84,medium,live,0,2,2
TPKH1,84,medium,live,10,1,1
TPKH1,84,medium,live,20,1,1
TPKH1,84,small,live,10,1,1
TPKH1,84,small,live,0,1,1
TPKH1,84,small,dead,10,1,1
TPKH1,84,small,dead,0,1,1
TUKM2,74,small,live,10,1,1
TUKM2,74,medium,dead,0,1,1
TUKM2,74,small,dead,10,1,1
MPKM1,64,small,dead,20,1,1
MPKM1,64,small,dead,10,1,1
MIKM1,75,small,dead,20,1,1
